ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Armor Reinforcement Charge,42834,0.0100,310,5,314,419,12,514,486,153128,328583,2.15,14933.5,"4,695,791",0.51,"2,376,614","6,257,133","815,273",Pass
Rapid Repair Charge,42833,0.0100,405,6,411,598,12,"1,000",944,156196.6,643494,4.12,10993.5,"4,518,049",1.27,"5,725,844","6,568,633","3,675,259",Pass
Electronic Hardening Charge,42837,0.0100,315,5,320,483,12,435,411,67266,157871,2.35,6272.6,"2,007,401",0.25,"492,496","3,031,524","-531,626",Pass
Electronic Superiority Charge,42836,0.0100,321,5,326,489,12,515,486,75170.7,79058,1.05,10471.3,"3,412,780",0.45,"1,551,318","5,123,623","-159,524",Pass
Sensor Optimization Charge,42835,0.0100,332,5,337,438,12,500,472,107376.3,36209,0.34,26415.3,"8,909,488",0.36,"3,241,573","11,569,923","581,138",Pass
Mining Equipment Preservation Charge,42831,0.0100,215,3,219,280,12,464,438,246078.9,1628780,6.62,13664.1,"2,987,405",0.95,"2,837,607","3,831,425","1,993,587",Pass
Mining Laser Field Enhancement Charge,42829,0.0100,269,4,273,282,12,397,375,715393.2,3441371,4.81,46596.5,"12,736,668",0.33,"4,162,658","13,140,217","3,759,109",Pass
Mining Laser Optimization Charge,42830,0.0100,339,5,344,365,12,421,397,857432.6,2262118,2.64,75412.7,"25,971,332",0.12,"3,094,521","27,540,707","1,525,146",Pass
Active Shielding Charge,42694,0.0100,369,6,374,440,12,699,660,244310.5,61697,0.25,69451.7,"25,983,910",0.73,"19,004,260","30,524,040","14,464,131",Pass
Shield Extension Charge,42696,0.0100,329,5,333,725,12,629,594,286826.9,701514,2.45,26200.7,"8,736,048",0.74,"6,501,969","18,995,539","-3,757,522",Pass
Shield Harmonizing Charge,42695,0.0100,337,5,342,578,12,669,632,378477.6,936067,2.47,34380.2,"11,756,440",0.81,"9,553,086","19,864,896","1,444,630",Pass
Evasive Maneuvers Charge,42838,0.0100,235,4,239,549,12,780,736,322691.4,781178,2.42,29628.4,"7,076,133",2.03,"14,378,708","16,263,023","5,191,818",Pass
Interdiction Maneuvers Charge,42839,0.0100,379,6,385,500,12,450,425,98659.2,316624,3.21,7867.5,"3,028,903",0.07,"218,799","3,930,600","-682,898",Pass
Rapid Deployment Charge,42840,0.0100,461,7,468,590,12,550,519,114711.3,330545,2.88,9653.7,"4,518,113",0.08,"375,534","5,690,885","-797,237",Pass
ElectroPunch Ultra L,54783,0.0250,"9,311",140,"9,451","10,040",30,"11,340","10,705",379176.2,741680,1.96,38730.7,"366,030,816",0.13,"47,417,795","388,856,169","24,592,442",Pass
ElectroPunch Ultra M,54786,0.0125,"5,620",84,"5,704","5,997",15,"6,432","6,072",301385.5,1118390,3.71,22350.6,"127,494,430",0.06,"7,878,759","134,036,446","1,336,744",Pass
StrikeSnipe Ultra M,54785,0.0125,"7,191",108,"7,299","8,200",15,"10,190","9,619",35781,114705,3.21,2854.9,"20,837,462",0.32,"6,581,936","23,410,104","4,009,294",Pass
GalvaSurge Condenser Pack L,54777,0.0250,"18,210",273,"18,483","20,980",30,"26,000","24,544",4666.7,287662,61.64,84.9,"1,569,465",0.33,"512,099","1,781,480","300,083",Pass
GalvaSurge Condenser Pack M,54773,0.0125,"10,430",156,"10,586","12,040",15,"19,480","18,389",28136.7,119922,4.26,1947.0,"20,611,643",0.74,"15,162,465","23,441,681","12,332,427",Pass
Mystic L,47935,0.0100,"1,506",23,"1,529","1,838",12,"3,432","3,240",82146.4,422507,5.14,5174.5,"7,909,678",1.11,"8,792,592","9,510,718","7,191,552",Pass
Occult L,47934,0.0100,"2,147",32,"2,179","2,348",12,"3,644","3,440",103412.6,702091,6.79,5669.8,"12,355,591",0.57,"7,080,018","13,312,620","6,122,989",Pass
Mystic M,47931,0.0100,"1,077",16,"1,093","1,194",12,"2,325","2,195",87260.1,526949,6.04,5072.7,"5,545,274",1.00,"5,527,468","6,056,832","5,015,909",Pass
Occult M,47930,0.0100,970,15,985,"1,056",12,"1,500","1,416",104857.4,193290,1.84,11033.1,"10,862,597",0.43,"4,627,816","11,650,909","3,839,504",Pass
Mystic S,47927,0.0100,955,14,970,"1,055",12,999,943,558945.8,1519372,2.72,48431.1,"46,955,320",-0.04,"-1,844,954","51,094,824","-5,984,458",Pass
Occult S,47926,0.0100,900,14,914,988,12,999,943,782702.2,1420631,1.82,82995.8,"75,833,517",0.02,"1,440,226","82,016,456","-4,742,712",Pass
Meson Exotic Plasma M,47929,0.0100,521,8,529,780,12,"1,500","1,416",70607.4,643801,9.12,3340.4,"1,766,805",1.65,"2,923,149","2,605,530","2,084,424",Pass
Baryon Exotic Plasma S,47924,0.0100,398,6,404,440,12,698,659,512290.8,1687206,3.29,40326.7,"16,294,872",0.60,"9,804,378","17,723,587","8,375,663",Pass
Meson Exotic Plasma S,47925,0.0100,446,7,453,520,12,610,576,567554.2,1163229,2.05,56634.4,"25,649,327",0.24,"6,283,418","29,449,892","2,482,852",Pass
Tetryon Exotic Plasma S,47885,0.0100,396,6,401,514,12,809,763,530225.3,905391,1.71,57966.2,"23,269,501",0.87,"20,287,015","29,783,014","13,773,502",Pass
Aurora L,12824,1.0000,"214,100","3,212","217,312","372,600","1,200","665,600","628,326",602,5022,8.34,29.8,"6,470,548",1.89,"12,202,423","11,094,333","7,578,638",Pass
Gleam L,12828,1.0000,"190,000","2,850","192,850","358,900","1,200","446,900","421,874",624.6,1216,1.95,63.9,"12,332,689",1.18,"14,569,238","22,951,528","3,950,400",Pass
Aurora M,12822,1.0000,"136,400","2,046","138,446","167,400","1,200","227,500","214,760",215.4,773,3.59,16.2,"2,248,854",0.54,"1,220,117","2,719,169","749,802",Pass
Gleam S,12557,1.0000,"37,050",556,"37,606","56,830","1,200","101,400","95,722",297.5,6896,23.18,8.8,"331,962",1.51,"502,420","501,662","332,720",Pass
Conflagration XL,41332,1.0000,"1,362,000","20,430","1,382,430","2,146,000","1,200","2,396,000","2,261,824",1279.1,1832,1.43,152.7,"211,076,130",0.64,"134,086,927","327,661,708","17,501,349",Pass
Scorch XL,41330,1.0000,"908,100","13,622","921,722","1,541,000","1,200","1,790,000","1,689,760",969.7,1173,1.21,126.0,"116,093,730",0.83,"96,585,728","194,093,810","18,585,647",Pass
Conflagration L,12816,1.0000,"251,200","3,768","254,968","283,300","1,200","323,500","305,384",3332,12851,3.86,242.4,"61,798,319",0.19,"11,928,815","68,665,338","5,061,796",Pass
Scorch L,12820,1.0000,"290,400","4,356","294,756","330,900","1,200","487,400","460,106",2474.7,7667,3.10,200.9,"59,201,910",0.56,"32,969,541","66,461,453","25,709,998",Pass
Conflagration M,12814,1.0000,"126,600","1,899","128,499","145,500","1,200","272,500","257,240",275.3,1039,3.77,20.2,"2,601,377",0.99,"2,581,983","2,945,551","2,237,809",Pass
Scorch M,12818,1.0000,"110,200","1,653","111,853","127,000","1,200","144,500","136,408",242.4,2067,8.53,11.9,"1,326,412",0.21,"276,956","1,506,033","97,335",Pass
Conflagration S,12565,1.0000,"43,340",650,"43,990","60,030","1,200","111,000","104,784",1846.6,11195,6.06,107.1,"4,713,072",1.35,"6,384,854","6,431,577","4,666,349",Pass
Scorch S,12563,1.0000,"45,480",682,"46,162","49,970","1,200","113,300","106,955",1118.8,7669,6.85,61.0,"2,818,044",1.29,"3,637,948","3,050,497","3,405,495",Pass
Imperial Navy Gamma L,23107,1.0000,"698,100","10,472","708,572","967,500","1,200","836,900","790,034",291,521,1.79,31.1,"22,014,370",0.11,"2,493,636","30,058,933","-5,550,926",Pass
Imperial Navy Infrared L,23115,1.0000,"565,900","8,489","574,389","895,500","1,200","848,700","801,173",267.6,1515,5.66,16.1,"9,228,488",0.39,"3,624,380","14,387,668","-1,534,800",Pass
Imperial Navy Microwave L,23117,1.0000,"375,100","5,627","380,727","889,900","1,200","1,100,000","1,038,400",269.5,743,2.76,23.2,"8,827,929",1.72,"15,221,691","20,634,166","3,415,454",Pass
Imperial Navy Multifrequency L,23105,1.0000,"845,300","12,680","857,980","1,195,000","1,200","1,127,000","1,063,888",1253.9,1376,1.10,171.0,"146,711,449",0.24,"35,004,427","204,340,759","-22,624,882",Pass
Imperial Navy Radio L,23119,1.0000,"654,200","9,813","664,013","779,800","1,200","849,400","801,834",603.6,3207,5.31,37.4,"24,840,075",0.21,"5,110,843","29,171,553","779,365",Pass
Imperial Navy Standard L,23113,1.0000,"727,700","10,916","738,616","1,176,000","1,200","998,800","942,867",704,1422,2.02,70.8,"52,267,240",0.27,"14,368,710","83,218,230","-16,582,280",Pass
Imperial Navy Ultraviolet L,23111,1.0000,0,0,0,"828,500","1,200","846,800","799,379",520.3,1286,2.47,47.3,0,#DIV/0!,"37,736,587","39,170,104","-1,433,517",#DIV/0!
Imperial Navy Xray L,23109,1.0000,"678,700","10,181","688,881","719,000","1,200","849,100","801,550",355.8,2977,8.37,17.6,"12,105,015",0.16,"1,958,750","12,634,276","1,429,490",Pass
Imperial Navy Multifrequency M,23089,1.0000,"346,400","5,196","351,596","499,000","1,200","450,000","424,800",414.2,922,2.23,39.7,"13,944,263",0.20,"2,855,672","19,790,291","-2,990,357",Pass
Imperial Navy Multifrequency S,23071,1.0000,"236,100","3,542","239,642","294,800","1,200","300,000","283,200",453.6,451,0.99,65.0,"15,573,466",0.18,"2,752,731","19,158,025","-831,827",Pass
Imperial Navy Standard S,23079,1.0000,"196,300","2,945","199,245","298,600","1,200","360,000","339,840",212.3,1559,7.34,11.2,"2,229,925",0.70,"1,560,101","3,341,902","448,124",Pass
Gamma L,261,1.0000,"83,000","1,245","84,245","89,800","1,200","90,000","84,960",3,1820,606.67,0.0,"1,466",-0.01,-8,"1,563",-105,Pass
Multifrequency L,262,1.0000,"133,000","1,995","134,995","147,000","1,200","236,600","223,350",198.8,230,1.16,26.4,"3,564,350",0.65,"2,301,213","3,881,324","1,984,239",Pass
Radio L,255,1.0000,"73,000","1,095","74,095","79,000","1,200","134,200","126,685",166.6,133,0.80,26.6,"1,973,684",0.69,"1,368,881","2,104,339","1,238,225",Pass
Xray L,260,1.0000,"57,000",855,"57,855","69,800","1,200","350,000","330,400",73.5,35,0.48,15.2,"880,319",4.69,"4,128,771","1,062,073","3,947,016",Pass
Gamma M,253,1.0000,"6,208",93,"6,301","30,000","1,200","110,000","103,840",1.9,100,52.63,0.0,236,15.29,"3,604","1,122","2,718",Pass
Infrared M,249,1.0000,"2,500",38,"2,538","6,201","1,200","10,980","10,365",3,149,49.67,0.1,154,2.61,403,377,180,Pass
Microwave M,248,1.0000,"2,803",42,"2,845","7,802","1,200","124,000","117,056",29.9,75,2.51,2.7,"7,673",39.72,"304,789","21,042","291,420",Pass
Ultraviolet M,251,1.0000,"7,347",110,"7,457","14,000","1,200","17,420","16,444",7.9,151,19.11,0.3,"1,925",1.04,"2,010","3,614",321,Pass
Xray M,252,1.0000,"2,000",30,"2,030","14,880","1,200","19,420","18,332",6.5,167,25.69,0.2,372,7.44,"2,767","2,726",413,Pass
Null M,12785,0.0125,50,1,50,72,15,82,78,401810.3,4061547,10.11,18054.6,"909,124",0.25,"223,763","1,292,529","-159,642",Pass
Void M,12789,0.0125,71,1,72,76,15,101,96,690060.7,620301,0.90,103975.7,"7,496,172",0.12,"887,094","7,870,957","512,309",Pass
Null S,12614,0.0025,30,0,31,37,3,58,54,241279,3628724,15.04,8888.0,"273,978",0.67,"183,477","327,701","129,754",Pass
Void S,12612,0.0025,30,0,30,36,3,36,34,866138.5,8262472,9.54,40061.6,"1,219,875",0.03,"33,116","1,447,425","-194,433",Pass
Javelin L,12803,0.0250,0,0,0,175,30,205,193,100550.6,1696477,16.87,3497.1,0,#DIV/0!,"571,512","611,289","-39,777",#DIV/0!
Spike L,12807,0.0250,195,3,198,233,30,283,267,152715.5,690516,4.52,10259.8,"2,026,509",0.20,"403,722","2,387,460","42,771",Pass
Javelin M,12801,0.0125,60,1,61,76,15,80,76,333165.7,473145,1.42,39938.8,"2,435,112",-0.01,"-18,014","3,032,954","-615,857",Pass
Spike M,12805,0.0125,85,1,86,93,15,98,92,376218.7,120297,0.32,95046.3,"8,153,811",-0.10,"-788,378","8,831,700","-1,466,268",Pass
Javelin S,12620,0.0025,13,0,13,28,3,18,17,174175.6,5637036,32.36,4373.8,"57,934",0.08,"4,709","122,466","-59,823",Pass
Spike S,12618,0.0025,31,0,31,37,3,21,20,324855.8,7489361,23.05,9665.3,"302,843",-0.47,"-141,421","356,746","-195,323",Pass
Caldari Navy Antimatter Charge L,21740,0.0250,972,15,987,"1,076",30,"1,353","1,277",246627,350827,1.42,29540.4,"29,155,962",0.26,"7,687,771","31,785,471","5,058,262",Pass
Caldari Navy Iridium Charge L,23049,0.0250,700,11,711,"1,040",30,"1,210","1,142",86972.9,304935,3.51,6635.5,"4,716,550",0.56,"2,663,729","6,900,929","479,349",Pass
Caldari Navy Iron Charge L,23053,0.0250,770,12,781,950,30,"1,299","1,226",47625.7,239876,5.04,3031.6,"2,368,725",0.53,"1,257,834","2,880,012","746,547",Pass
Caldari Navy Thorium Charge L,23045,0.0250,810,12,822,"1,068",30,"1,216","1,148",107676.8,200232,1.86,11280.2,"9,276,341",0.36,"3,333,887","12,047,299","562,929",Pass
Caldari Navy Antimatter Charge M,23025,0.0125,592,9,601,672,15,798,753,714973.9,3119915,4.36,48895.2,"29,385,086",0.23,"6,714,797","32,877,105","3,222,778",Pass
Caldari Navy Iridium Charge M,23035,0.0125,492,7,499,592,15,500,472,152708.7,163918,1.07,21056.4,"10,517,287",-0.09,"-894,508","12,461,183","-2,838,404",Pass
Caldari Navy Iron Charge M,23039,0.0125,302,5,307,600,15,588,555,151034.1,150002,0.99,21650.4,"6,643,090",0.76,"5,049,686","12,985,911","-1,293,135",Pass
Caldari Navy Thorium Charge M,23031,0.0125,543,8,551,607,15,500,472,259487.2,28768,0.11,111332.3,"61,348,920",-0.17,"-10,470,076","67,578,683","-16,699,839",Pass
Federation Navy Antimatter Charge M,22977,0.0125,541,8,550,699,15,"1,000",944,73685.7,486261,6.60,4097.7,"2,251,782",0.69,"1,554,224","2,863,895","942,111",Pass
Caldari Navy Antimatter Charge S,23009,0.0025,395,6,401,395,3,441,416,391132.2,1197194,3.06,31937.8,"12,807,906",0.03,"389,101","12,625,014","571,993",Pass
Caldari Navy Thorium Charge S,23015,0.0025,351,5,356,485,3,710,670,206857.5,36060,0.17,70777.6,"25,208,408",0.87,"22,023,938","34,291,761","12,940,585",Pass
Federation Navy Antimatter Charge S,22961,0.0025,310,5,315,511,3,0,0,7615.5,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mercoxit Asteroid Mining Crystal Type A I,18054,10.0000,"407,900","6,119","414,019","493,900","12,000","800,000","755,200",387.6,371,0.96,56.6,"23,432,056",0.80,"18,630,567","27,953,081","14,109,543",Pass
Complex Asteroid Mining Crystal Type A II,60300,10.0000,"440,000","6,600","446,600","480,000","12,000",0,0,379.6,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Complex Asteroid Mining Crystal Type B II,60301,10.0000,"898,000","13,470","911,470","1,309,000","12,000","1,572,000","1,483,968",3765.1,4123,1.10,514.0,"468,492,286",0.61,"288,093,947","672,821,270","83,764,963",Pass
Complex Asteroid Mining Crystal Type C II,60302,10.0000,"589,000","8,835","597,835","1,134,000","12,000",0,0,-1,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mercoxit Asteroid Mining Crystal Type A II,18608,10.0000,"965,700","14,486","980,186","1,139,000","12,000","1,689,000","1,594,416",523.1,1517,2.90,43.9,"43,012,484",0.61,"26,427,069","49,981,579","19,457,974",Pass
Mercoxit Asteroid Mining Crystal Type B II,60311,10.0000,"1,548,000","23,220","1,571,220","1,700,000","12,000","1,785,000","1,685,040",599.4,2598,4.33,41.1,"64,624,098",0.06,"4,187,845","69,920,804","-1,108,862",Pass
Inferno Fury Cruise Missile,2621,0.0500,390,6,396,449,60,508,479,454666.1,4185574,9.21,21407.4,"8,474,107",0.06,"503,356","9,620,472","-643,009",Pass
Mjolnir Fury Cruise Missile,24535,0.0500,465,7,472,495,60,500,472,344839.4,1900115,5.51,20986.4,"9,905,042",-0.13,"-1,258,658","10,396,648","-1,750,263",Pass
Mjolnir Precision Cruise Missile,24539,0.0500,503,8,510,725,60,500,472,27711.6,785914,28.36,743.4,"379,450",-0.19,"-73,321","538,871","-232,742",Pass
Caldari Navy Inferno Cruise Missile,27423,0.0500,"1,479",22,"1,501","1,694",60,"1,791","1,691",368013.6,878927,2.39,34019.0,"51,068,791",0.09,"4,406,105","57,628,162","-2,153,266",Pass
Caldari Navy Mjolnir Cruise Missile,27377,0.0500,"1,637",25,"1,662","1,828",60,"1,700","1,605",356276.2,455928,1.28,44991.9,"74,756,467",-0.07,"-5,253,026","82,245,139","-12,741,698",Pass
Mjolnir Cruise Missile,202,0.0500,316,5,321,380,60,290,274,76125.5,191309,2.51,6860.1,"2,202,393",-0.33,"-735,981","2,606,146","-1,139,735",Pass
Defender Missile I,32782,0.0150,3,0,3,12,18,5,5,27226.7,659703,24.23,790.2,"2,406",-5.26,"-12,661","9,466","-19,721",Pass
Inferno Rage Heavy Assault Missile,24486,0.0150,60,1,61,78,18,129,122,135394.2,2172542,16.05,4828.6,"294,060",0.70,"206,574","376,435","124,198",Pass
Mjolnir Rage Heavy Assault Missile,24490,0.0150,71,1,72,85,18,165,156,383836.8,7667324,19.98,12268.7,"881,034",0.92,"809,108","1,046,401","643,741",Pass
Nova Rage Heavy Assault Missile,24488,0.0150,91,1,92,100,18,170,160,1084753.6,1506341,1.39,131503.4,"12,154,320",0.54,"6,545,042","13,150,339","5,549,022",Pass
Scourge Rage Heavy Assault Missile,2679,0.0150,86,1,88,93,18,109,103,1282753.3,6837349,5.33,79373.0,"6,948,610",-0.03,"-232,638","7,418,994","-703,023",Pass
Mjolnir Javelin Heavy Assault Missile,24493,0.0150,69,1,70,81,18,135,127,93517.7,703918,7.53,4869.5,"341,132",0.56,"191,323","396,277","136,178",Pass
Nova Javelin Heavy Assault Missile,13856,0.0150,65,1,66,79,18,0,0,373547.8,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Caldari Navy Mjolnir Heavy Assault Missile,27419,0.0150,999,15,"1,014","1,114",18,"1,387","1,309",119526.4,787161,6.59,6653.7,"6,747,470",0.27,"1,844,693","7,412,268","1,179,895",Pass
Caldari Navy Nova Heavy Assault Missile,27401,0.0150,971,15,986,"1,072",18,"1,444","1,363",124419.9,606653,4.88,8049.5,"7,933,263",0.36,"2,894,351","8,629,017","2,198,596",Pass
Caldari Navy Scourge Heavy Assault Missile,27413,0.0150,971,15,985,"1,070",18,"1,150","1,086",206928.4,254756,1.23,26642.2,"26,249,496",0.08,"2,193,704","28,507,142","-63,941",Pass
Inferno Fury Heavy Missile,24511,0.0300,450,7,457,496,36,595,562,267964.2,361945,1.35,32937.9,"15,047,726",0.15,"2,263,957","16,333,902","977,781",Pass
Mjolnir Fury Heavy Missile,24509,0.0300,411,6,417,463,36,677,639,401196.4,1030993,2.57,35752.8,"14,925,689",0.45,"6,646,500","16,546,380","5,025,809",Pass
Nova Fury Heavy Missile,24507,0.0300,445,7,452,499,36,780,736,750393.9,1264168,1.68,82591.1,"37,304,357",0.55,"20,512,486","41,204,724","16,612,119",Pass
Scourge Fury Heavy Missile,2629,0.0300,407,6,413,435,36,574,542,620011,1332566,2.15,60416.7,"24,933,894",0.23,"5,628,234","26,281,246","4,280,883",Pass
Caldari Navy Inferno Heavy Missile,27447,0.0300,541,8,549,"1,074",36,"1,199","1,132",361934.5,517143,1.43,43255.5,"23,761,040",0.99,"23,640,789","46,456,436","945,393",Pass
Caldari Navy Mjolnir Heavy Missile,27435,0.0300,"1,010",15,"1,025","1,096",36,"1,397","1,319",461672.2,567003,1.23,59512.7,"61,009,474",0.25,"15,331,550","65,225,951","11,115,073",Pass
Caldari Navy Nova Heavy Missile,27453,0.0300,983,15,998,"1,091",36,"1,170","1,104",525972.1,254476,0.48,108024.6,"107,791,954",0.07,"7,630,155","117,854,822","-2,432,714",Pass
Caldari Navy Scourge Heavy Missile,27441,0.0300,990,15,"1,005","1,059",36,"1,306","1,233",578041.3,214905,0.37,135430.7,"136,087,501",0.19,"26,004,583","143,421,072","18,671,013",Pass
Mjolnir Fury Light Missile,2613,0.0150,64,1,65,70,18,87,82,367623.9,1474064,4.01,26227.0,"1,711,695",-0.02,"-37,977","1,835,893","-162,175",Pass
Scourge Fury Light Missile,24495,0.0150,72,1,73,80,18,130,123,1322442.6,6104285,4.62,87932.6,"6,402,907",0.44,"2,838,596","7,034,606","2,206,897",Pass
Caldari Navy Inferno Light Missile,27371,0.0150,713,11,723,859,18,"1,150","1,086",383279.6,488997,1.28,48475.5,"35,061,806",0.48,"16,690,653","41,635,619","10,116,840",Pass
Caldari Navy Mjolnir Light Missile,27387,0.0150,688,10,698,783,18,"1,101","1,039",454239.8,1057551,2.33,42528.4,"29,676,851",0.46,"13,759,278","33,286,981","10,149,148",Pass
Caldari Navy Nova Light Missile,27381,0.0150,744,11,755,835,18,"1,276","1,205",378620.2,1457987,3.85,27563.3,"20,800,694",0.57,"11,904,344","23,015,334","9,689,704",Pass
Caldari Navy Scourge Light Missile,27361,0.0150,705,11,716,854,18,"1,036",978,835445.8,606132,0.73,140118.6,"100,308,030",0.34,"34,203,580","119,675,292","14,836,317",Pass
Mjolnir Rage Rocket,2817,0.0050,41,1,42,53,6,101,95,98306.4,1509818,15.36,3583.5,"150,548",1.12,"168,605","188,924","130,229",Pass
Scourge Rage Rocket,24471,0.0050,50,1,51,54,6,70,66,542489.5,594479,1.10,74032.2,"3,786,440",0.17,"654,426","4,027,352","413,514",Pass
Scourge Javelin Rocket,24477,0.0050,61,1,62,67,6,0,0,40895.6,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Caldari Navy Mjolnir Rocket,27321,0.0050,554,8,563,805,6,955,902,44148.3,413678,9.37,2060.4,"1,158,976",0.59,"686,112","1,658,378","186,709",Pass
Caldari Navy Scourge Rocket,27333,0.0050,575,9,583,676,6,992,936,54398.2,285421,5.25,3392.6,"1,978,299",0.60,"1,178,362","2,293,414","863,247",Pass
Inferno Rage Torpedo,2811,0.0500,"1,402",21,"1,423","1,545",60,"1,630","1,539",86811.9,208308,2.40,8006.0,"11,392,838",0.04,"445,856","12,369,335","-530,640",Pass
Mjolnir Rage Torpedo,24523,0.0500,"1,390",21,"1,411","1,589",60,"1,600","1,510",949874.6,871162,0.92,141694.1,"199,909,187",0.03,"5,604,004","225,151,999","-19,638,809",Pass
Nova Rage Torpedo,24519,0.0500,"1,305",20,"1,325","1,467",60,"1,450","1,369",1521940.5,1899361,1.25,194623.2,"257,793,087",-0.01,"-3,070,182","285,512,303","-30,789,398",Pass
Scourge Rage Torpedo,24521,0.0500,"1,237",19,"1,256","1,424",60,"1,620","1,529",128698.5,474962,3.69,9570.5,"12,016,237",0.17,"2,045,446","13,628,333","433,350",Pass
Mjolnir Javelin Torpedo,24527,0.0500,"1,272",19,"1,291","1,524",60,"1,400","1,322",159318.6,536211,3.37,12406.1,"16,017,214",-0.02,"-365,731","18,906,833","-3,255,350",Pass
Caldari Navy Inferno Torpedo,27351,0.0500,"1,995",30,"2,025","2,378",60,"3,138","2,962",69484.1,176967,2.55,6219.9,"12,594,847",0.43,"5,457,018","14,790,942","3,260,924",Pass
Caldari Navy Mjolnir Torpedo,27339,0.0500,"2,076",31,"2,107","2,299",60,"2,777","2,621",1645299.4,1536821,0.93,243196.7,"512,449,551",0.22,"110,495,947","559,109,275","63,836,222",Pass
Caldari Navy Nova Torpedo,27359,0.0500,"2,083",31,"2,114","2,401",60,"2,499","2,359",482352,407082,0.84,75007.9,"158,585,125",0.09,"13,862,289","180,094,021","-7,646,608",Pass
Caldari Navy Scourge Torpedo,27345,0.0500,"2,010",30,"2,040","2,140",60,"2,785","2,629",117341.2,527132,4.49,7908.9,"16,135,416",0.26,"4,182,957","16,925,123","3,393,250",Pass
Nanite Repair Paste,28668,0.0100,"22,930",344,"23,274","24,990",12,"26,500","25,016",604814.9,437630,0.72,101573.9,"2,364,025,935",0.07,"175,727,931","2,538,331,831","1,422,035",Pass
Stasis Webification Probe,56748,1.0000,"58,900",884,"59,784","81,200","1,200","113,300","106,955",3927,10111,2.57,349.6,"20,901,507",0.77,"16,072,625","28,389,143","8,584,989",Pass
Warp Disrupt Probe,22778,1.0000,"72,240","1,084","73,324","87,980","1,200","94,260","88,981",18537.9,92452,4.99,1185.9,"86,951,762",0.20,"17,145,021","104,332,248","-235,465",Pass
Core Scanner Probe I,30013,1.0000,"7,507",113,"7,620","8,619","1,200","28,990","27,367",3614.6,5190,1.44,430.9,"3,283,531",2.43,"7,992,475","3,714,202","7,561,803",Pass
