ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Acolyte II,2205,5,"278,500","4,178","282,678","309,900",6000,"354,300","334,459",3108.9,4578,1.47,366.0,"103,458,324",0.16,"16,755,836","113,421,601","6,792,559",Pass
Hobgoblin II,2456,5,"271,400","4,071","275,471","288,000",6000,"321,700","303,685",1483.3,3516,2.37,137.6,"37,913,764",0.08,"3,057,341","39,638,162","1,332,943",Pass
Hornet II,2466,5,"331,400","4,971","336,371","391,300",6000,"446,800","421,779",2298.6,16884,7.35,121.2,"40,754,722",0.24,"9,621,100","47,409,922","2,965,901",Pass
Warrior II,2488,5,"315,500","4,733","320,233","341,300",6000,"357,700","337,669",12834.3,13621,1.06,1779.7,"569,929,516",0.04,"20,353,602","607,424,118","-17,141,000",Pass
Caldari Navy Hornet,31872,5,"1,115,000","16,725","1,131,725","1,237,000",6000,"1,299,000","1,226,256",215.4,271,1.26,27.4,"31,047,510",0.08,"2,428,741","33,935,602","-459,351",Pass
Federation Navy Hobgoblin,31880,5,"1,022,000","15,330","1,037,330","1,150,000",6000,"1,819,000","1,717,136",151.7,449,2.96,12.6,"13,066,946",0.65,"8,487,739","14,486,217","7,068,468",Pass
Imperial Navy Acolyte,31864,5,"985,800","14,787","1,000,587","1,195,000",6000,"1,424,000","1,344,256",307.1,627,2.04,30.7,"30,721,525",0.34,"10,367,621","36,690,685","4,398,461",Pass
Republic Fleet Warrior,31888,5,"1,084,000","16,260","1,100,260","1,219,000",6000,"1,179,000","1,112,976",877.3,1289,1.47,103.4,"113,760,900",0.01,"694,398","126,037,970","-11,582,672",Pass
Hammerhead II,2185,10,"733,000","10,995","743,995","770,900",12000,"813,500","767,944",1086.9,1883,1.73,118.0,"87,766,989",0.02,"1,409,590","90,940,896","-1,764,317",Pass
Infiltrator II,2175,10,"834,500","12,518","847,018","934,900",12000,"999,700","943,717",3828.3,3185,0.83,599.6,"507,865,334",0.10,"50,785,064","560,559,022","-1,908,623",Pass
Valkyrie II,21640,10,"800,400","12,006","812,406","869,400",12000,"999,900","943,906",6415.5,2368,0.37,1508.5,"1,225,547,073",0.15,"180,269,945","1,311,524,811","94,292,208",Buy
Vespa II,21638,10,"767,200","11,508","778,708","833,000",12000,"913,000","861,872",597.6,296,0.50,121.3,"94,459,714",0.09,"8,632,416","101,045,503","2,046,626",Pass
Caldari Navy Vespa,31874,10,"1,595,000","23,925","1,618,925","1,694,000",12000,"1,922,000","1,814,368",394.8,763,1.93,40.6,"65,679,848",0.11,"7,442,289","68,725,643","4,396,494",Pass
Federation Navy Hammerhead,31882,10,"1,509,000","22,635","1,531,635","1,598,000",12000,"2,378,000","2,244,832",158.2,113,0.71,26.7,"40,956,962",0.46,"18,750,485","42,731,608","16,975,840",Pass
Imperial Navy Infiltrator,31866,10,"1,641,000","24,615","1,665,615","1,800,000",12000,"2,112,000","1,993,728",412.8,179,0.43,89.6,"149,162,482",0.19,"28,309,183","161,197,196","16,274,469",Pass
Republic Fleet Valkyrie,31890,10,"1,547,000","23,205","1,570,205","1,708,000",12000,"1,923,000","1,815,312",1225.2,1673,1.37,149.8,"235,191,070",0.15,"34,915,622","255,830,511","14,276,181",Pass
Bouncer II,28215,25,"1,359,000","20,385","1,379,385","1,456,000",30000,"1,766,000","1,667,104",1287.3,1671,1.30,161.4,"222,648,046",0.19,"41,598,706","235,014,557","29,232,195",Pass
Curator II,28213,25,"1,195,000","17,925","1,212,925","1,615,000",30000,"1,395,000","1,316,880",1289.6,1670,1.29,161.9,"196,363,249",0.06,"11,972,747","261,456,105","-53,120,110",Pass
Warden II,28209,25,"2,107,000","31,605","2,138,605","2,508,000",30000,"3,000,000","2,832,000",1213.6,184,0.15,445.3,"952,219,296",0.31,"295,378,305","1,116,693,356","130,904,245",Buy
Imperial Navy Curator,31868,25,"2,575,000","38,625","2,613,625","2,773,000",30000,"3,488,000","3,292,672",269.3,9,0.03,210.4,"550,020,037",0.25,"136,587,634","583,559,448","103,048,223",Buy
Republic Fleet Bouncer,31894,25,"2,419,000","36,285","2,455,285","2,656,000",30000,"3,292,000","3,107,648",266.7,447,1.68,29.4,"72,257,783",0.25,"18,315,825","78,164,723","12,408,885",Pass
Hornet EC-300,23707,5,"5,172",78,"5,250","8,332",6000,"9,997","9,437",7463.6,18183,2.44,683.1,"3,586,050",-0.35,"-1,238,080","5,691,687","-3,343,717",Pass
Valkyrie SW-600,23729,10,"25,700",386,"26,086","53,200",12000,"43,000","40,592",435.6,1254,2.88,36.7,"956,718",0.10,"91,929","1,951,177","-902,529",Pass
Vespa EC-600,23705,10,"31,590",474,"32,064","40,480",12000,"57,940","54,695",587.8,1934,3.29,46.3,"1,484,341",0.33,"492,168","1,873,953","102,556",Pass
Warrior SW-300,23731,5,"7,040",106,"7,146","8,989",6000,"11,990","11,319",317.8,1901,5.98,18.6,"132,642",-0.26,"-33,915","166,860","-68,133",Pass
Ametat II,40560,"2,000","25,020,000","375,300","25,395,300","28,690,000",2400000,"31,070,000","29,330,080",336.2,516,1.53,38.8,"984,525,616",0.06,"59,500,389","1,112,254,627","-68,228,622",Pass
Einherji II,40559,"1,000","10,660,000","159,900","10,819,900","11,570,000",1200000,"17,920,000","16,916,480",501,109,0.22,153.4,"1,660,231,107",0.45,"751,342,844","1,775,328,229","636,245,721",Buy
Equite II,40552,800,"7,565,000","113,475","7,678,475","10,230,000",960000,"11,410,000","10,771,040",386.2,2744,7.11,20.7,"158,929,049",0.28,"44,139,823","211,740,505","-8,671,633",Pass
Gram II,40553,800,"9,127,000","136,905","9,263,905","12,270,000",960000,"11,620,000","10,969,280",249.4,1036,4.15,17.5,"161,942,503",0.08,"13,029,915","214,492,109","-39,519,690",Pass
Templar II,40556,"1,000","11,040,000","165,600","11,205,600","13,140,000",1200000,"10,910,000","10,299,040",344.6,1096,3.18,27.6,"309,317,654",-0.19,"-58,149,157","362,714,534","-111,546,037",Pass
Heavy Armor Maintenance Bot II,28197,25,"1,937,000","29,055","1,966,055","2,282,000",30000,"2,858,000","2,697,952",192.3,446,2.32,18.0,"35,464,931",0.36,"12,661,258","41,164,145","6,962,044",Pass
Heavy Hull Maintenance Bot II,33708,25,"1,808,000","27,120","1,835,120","2,644,000",30000,"3,121,000","2,946,224",157,181,1.15,20.9,"38,333,336",0.59,"22,582,896","55,229,817","5,686,415",Pass
Heavy Shield Maintenance Bot II,28199,25,"1,938,000","29,070","1,967,070","2,420,000",30000,"3,367,000","3,178,448",228,306,1.34,28.1,"55,304,864",0.60,"33,214,858","68,039,151","20,480,572",Pass
Light Armor Maintenance Bot II,28201,5,"200,000","3,000","203,000","440,500",6000,"699,500","660,328",116.9,108,0.92,17.4,"3,527,020",2.22,"7,841,590","7,653,459","3,715,151",Pass
Mining Drone I,10246,5,"9,412",141,"9,553","14,400",6000,"17,910","16,907",1267.7,11871,9.36,59.2,"565,368",0.14,"80,123","852,208","-206,717",Pass
Ice Harvesting Drone II,43700,50,"2,905,000","43,575","2,948,575","3,198,000",60000,"3,166,000","2,988,704",51.8,420,8.11,2.6,"7,662,741",-0.01,"-51,641","8,310,945","-699,845",Pass
Mining Drone II,10250,5,"665,400","9,981","675,381","719,100",6000,"836,200","789,373",889,1272,1.43,106.2,"71,706,724",0.16,"11,465,733","76,348,469","6,823,988",Pass
'Augmented' Mining Drone,43694,5,"11,010,000","165,150","11,175,150","12,550,000",6000,"13,980,000","13,197,120",199.7,578,2.89,16.8,"187,395,216",0.18,"33,805,643","210,449,968","10,750,891",Pass
'Excavator' Ice Harvesting Drone,43681,"1,100","271,700,000","4,075,500","275,775,500","305,600,000",1320000,"328,700,000","310,292,800",62.8,101,1.61,7.1,"1,950,906,337",0.12,"234,846,181","2,161,892,469","23,860,049",Pass
'Excavator' Mining Drone,41030,"1,100","211,600,000","3,174,000","214,774,000","235,900,000",1320000,"266,900,000","251,953,600",87.7,99,1.13,11.8,"2,532,593,328",0.17,"422,852,783","2,781,708,987","173,737,124",Pass
Salvage Drone I,32787,5,"45,160",677,"45,837","54,610",6000,"49,990","47,191",353.7,12360,34.94,8.5,"391,801",-0.10,"-39,719","466,786","-114,704",Pass
Salvage Drone II,55760,5,"836,700","12,551","849,251","904,000",6000,"1,730,000","1,633,120",125.8,775,6.16,7.2,"6,149,048",0.92,"5,632,210","6,545,465","5,235,793",Pass
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,0,0,,0,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
