name,type_id,volume
Republic Fleet Phased Plasma M,0,0
Scorch XL,0,0
Scourge Rage Heavy Assault Missile,0,0
Scourge Fury Cruise Missile,0,0
Shield Extension Charge,0,0
Shield Harmonizing Charge,0,0
Sisters Core Scanner Probe,0,0
Sisters Combat Scanner Probe,0,0
Stasis Webification Probe,0,0
Warp Disrupt Probe,0,0
Tremor L,0,0
Tremor M,0,0
Hail L,0,0
Void L,0,0
Void M,0,0
Large Armor Repairer II,0,0
Navy Cap Booster 150,0,0
Navy Cap Booster 400,0,0
Navy Cap Booster 800,0,0
Navy Cap Booster 3200,0,0
Focused Void Bomb,0,0
Shrapnel Bomb,0,0
Antipharmakon Aeolis,0,0
Antipharmakon Iokira,0,0
Strong Blue Pill Booster,0,0
Synth Blue Pill Booster,0,0
Synth Exile Booster,0,0
Synth Crash Booster,0,0
Synth X-Instinct Booster,0,0
Standard Exile Booster,0,0
Standard Mindflood Booster,0,0
Pure Standard Mindflood Booster,0,0
Quafe Zero Classic,0,0
Agency 'Pyrolancea' DB3 Dose I,0,0
Agency 'Pyrolancea' DB5 Dose II,0,0
Agency 'Pyrolancea' DB7 Dose III,0,0
Agency 'Pyrolancea' DB9 Dose IV,0,0
Agency 'Overclocker' SB3 Dose I,0,0
Agency 'Overclocker' SB5 Dose II,0,0
Agency 'Overclocker' SB7 Dose III,0,0
Agency 'Overclocker' SB9 Dose IV,0,0
Agency 'Hardshell' TB3 Dose I,0,0
Agency 'Hardshell' TB5 Dose II,0,0
Agency 'Hardshell' TB7 Dose III,0,0
Agency 'Hardshell' TB9 Dose IV,0,0
'Augmented' Mining Drone,0,0
'Excavator' Mining Drone,0,0
'Excavator' Ice Harvesting Drone,0,0
'Integrated' Praetor,0,0
Acolyte II,0,0
Ametat II,0,0
Caldari Navy Warden,0,0
Caldari Navy Wasp,0,0
Equite II,0,0
Ogre II,0,0
Federation Navy Ogre,0,0
Gecko,0,0
Gram I,0,0
Gram II,0,0
Curator II,0,0
Berserker II,0,0
Light Hull Maintenance Bot I,0,0
Light Armor Maintenance Bot I,0,0
Heavy Armor Maintenance Bot I,0,0
Heavy Armor Maintenance Bot II,0,0
Heavy Shield Maintenance Bot I,0,0
Heavy Shield Maintenance Bot II,0,0
Heavy Hull Maintenance Bot I,0,0
Heavy Hull Maintenance Bot II,0,0
Hornet EC-300,0,0
Hornet II,0,0
Imperial Navy Acolyte,0,0
Imperial Navy Curator,0,0
Imperial Navy Infiltrator,0,0
Imperial Navy Praetor,0,0
Malleus II,0,0
Mining Drone I,0,0
Mining Drone II,0,0
Republic Fleet Berserker,0,0
Republic Fleet Bouncer,0,0
Republic Fleet Valkyrie,0,0
Republic Fleet Warrior,0,0
Warrior II,0,0
Salvage Drone I,0,0
Salvage Drone II,0,0
Templar I,0,0
Valkyrie II,0,0
Valkyrie SW-600,0,0
Vespa EC-600,0,0
Warden II,0,0
Genolution Core Augmentation CA-1,0,0
Genolution Core Augmentation CA-2,0,0
Genolution Core Augmentation CA-3,0,0
Genolution Core Augmentation CA-4,0,0
Inherent Implants 'Noble' Hull Upgrades HG-1003,0,0
Inherent Implants 'Noble' Hull Upgrades HG-1005,0,0
Inherent Implants 'Noble' Mechanic MC-803,0,0
Inherent Implants 'Noble' Repair Proficiency RP-903,0,0
Inherent Implants 'Noble' Remote Armor Repair Systems RA-703,0,0
Inherent Implants 'Squire' Capacitor Management EM-803,0,0
Inherent Implants 'Squire' Capacitor Management EM-805,0,0
Inherent Implants 'Squire' Capacitor Systems Operation EO-602,0,0
Inherent Implants 'Squire' Capacitor Systems Operation EO-603,0,0
Inherent Implants 'Squire' Power Grid Management EG-601,0,0
Inherent Implants 'Squire' Power Grid Management EG-602,0,0
Inherent Implants 'Squire' Power Grid Management EG-603,0,0
Inherent Implants 'Lancer' Large Energy Turret LE-1003,0,0
Inherent Implants 'Highwall' Mining MX-1003,0,0
Inherent Implants 'Highwall' Mining MX-1005,0,0
Information Command Mindlink,0,0
Shield Command Mindlink,0,0
Armored Command Mindlink,0,0
Mining Foreman Mindlink,0,0
Skirmish Command Mindlink,0,0
Zainou 'Gypsy' CPU Management EE-601,0,0
Zainou 'Gypsy' CPU Management EE-602,0,0
Zainou 'Gypsy' CPU Management EE-603,0,0
Zainou 'Gypsy' Long Range Targeting LT-802,0,0
Zainou 'Gnome' Shield Management SM-703,0,0
Zainou 'Gnome' Shield Operation SP-903,0,0
Zainou 'Snapshot' Cruise Missiles CM-602,0,0
Zainou 'Snapshot' Heavy Missiles HM-703,0,0
Zainou 'Deadeye' Target Navigation Prediction TN-902,0,0
Zainou 'Deadeye' Target Navigation Prediction TN-903,0,0
Zainou 'Deadeye' Target Navigation Prediction TN-905,0,0
Zainou 'Deadeye' Rapid Launch RL-1002,0,0
Zainou 'Deadeye' Rapid Launch RL-1003,0,0
Zainou 'Deadeye' Rapid Launch RL-1005,0,0
Zainou 'Deadeye' Sharpshooter ST-903,0,0
Zainou 'Deadeye' Missile Projection MP-703,0,0
Zainou 'Deadeye' Guided Missile Precision GP-803,0,0
Zainou 'Deadeye' Guided Missile Precision GP-805,0,0
Zainou 'Beancounter' Reprocessing RX-804,0,0
Eifyr and Co. 'Gunslinger' Surgical Strike SS-903,0,0
Eifyr and Co. 'Gunslinger' Motion Prediction MR-703,0,0
Eifyr and Co. 'Rogue' Navigation NN-603,0,0
Eifyr and Co. 'Rogue' Warp Drive Speed WS-610,0,0
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-703,0,0
Eifyr and Co. 'Alchemist' Biology BY-810,0,0
Poteque 'Prospector' Environmental Analysis EY-1005,0,0
Poteque 'Prospector' Astrometric Pinpointing AP-606,0,0
Poteque 'Prospector' Astrometric Rangefinding AR-806,0,0
Neural Lace 'Blackglass' Net Intrusion 920-40,0,0
Zor's Custom Navigation Hyper-Link,0,0
Ocular Filter - Standard,0,0
Ocular Filter - Improved,0,0
Ocular Filter - Basic,0,0
Memory Augmentation - Standard,0,0
Memory Augmentation - Improved,0,0
Memory Augmentation - Basic,0,0
Neural Boost - Standard,0,0
Neural Boost - Improved,0,0
Neural Boost - Basic,0,0
Cybernetic Subprocessor - Standard,0,0
Cybernetic Subprocessor - Improved,0,0
Cybernetic Subprocessor - Basic,0,0
Social Adaptation Chip - Standard,0,0
Social Adaptation Chip - Improved,0,0
Social Adaptation Chip - Basic,0,0
High-grade Crystal Alpha,0,0
High-grade Crystal Beta,0,0
High-grade Crystal Gamma,0,0
High-grade Crystal Delta,0,0
High-grade Crystal Epsilon,0,0
High-grade Crystal Omega,0,0
Mid-grade Crystal Alpha,0,0
Mid-grade Crystal Beta,0,0
Mid-grade Crystal Gamma,0,0
Mid-grade Crystal Delta,0,0
Mid-grade Crystal Epsilon,0,0
Mid-grade Crystal Omega,0,0
Mid-grade Amulet Alpha,0,0
Mid-grade Amulet Beta,0,0
Mid-grade Amulet Gamma,0,0
Mid-grade Amulet Epsilon,0,0
Mid-grade Amulet Omega,0,0
AE-K Compact Drone Damage Amplifier,0,0
Dread Guristas Drone Damage Amplifier,0,0
Drone Link Augmentor I,0,0
Fighter Support Unit II,0,0
ORE Ice Harvester,0,0
ORE Strip Miner,0,0
Medium Knave Scoped Energy Nosferatu,0,0
Small Energy Neutralizer II,0,0
Medium Energy Neutralizer II,0,0
Heavy Energy Neutralizer II,0,0
Covert Ops Cloaking Device II,0,0
Prototype Cloaking Device I,0,0
Sensor Booster II,0,0
Large Shield Extender II,0,0
Caldari Navy Medium Shield Extender,0,0
Republic Fleet Medium Shield Extender,0,0
Small Shield Extender II,0,0
Micro Auxiliary Power Core II,0,0
Domination Heavy Stasis Grappler,0,0
Domination Warp Disruptor,0,0
Dread Guristas Multispectral ECM,0,0
Dread Guristas Stasis Webifier,0,0
Federation Navy Stasis Webifier,0,0
Stasis Webifier II,0,0
Heavy Stasis Grappler II,0,0
Heavy Warp Disruptor I,0,0
Interdiction Sphere Launcher I,0,0
Large Remote Armor Repairer II,0,0
Multispectral ECM II,0,0
Multispectrum Energized Membrane II,0,0
Enduring Multispectrum Shield Hardener,0,0
Republic Fleet Target Painter,0,0
Republic Fleet Warp Disruptor,0,0
Shadow Serpentis Heavy Stasis Grappler,0,0
Target Painter II,0,0
True Sansha Warp Disruptor,0,0
Cap Recharger II,0,0
Capacitor Power Relay II,0,0
Warp Disruption Field Generator II,0,0
Warp Scrambler II,0,0
5MN Y-T8 Compact Microwarpdrive,0,0
5MN Quad LiF Restrained Microwarpdrive,0,0
5MN Microwarpdrive II,0,0
Coreli A-Type 5MN Microwarpdrive,0,0
Expanded Cargohold II,0,0
Nanofiber Internal Structure II,0,0
Modulated Strip Miner II,0,0
Modulated Deep Core Strip Miner II,0,0
Mining Laser Upgrade II,0,0
Ice Harvester Upgrade II,0,0
Bomb Launcher I,0,0
Bomb Launcher II,0,0
150mm Railgun II,0,0
150mm Prototype Gauss Gun,0,0
Small Focused Beam Laser II,0,0
Crosslink Compact Ballistic Control System,0,0
Heavy Missile Launcher II,0,0
'Arbalest' Heavy Missile Launcher,0,0
'Arbalest' Rapid Heavy Missile Launcher I,0,0
Torpedo Launcher II,0,0
Prototype 'Arbalest' Torpedo Launcher,0,0
Information Command Burst II,0,0
Mining Foreman Burst I,0,0
Skirmish Command Burst II,0,0
Assault Damage Control II,0,0
Co-Processor II,0,0
Gyrostabilizer II,0,0
Tracking Enhancer II,0,0
720mm Howitzer Artillery II,0,0
Large Azeotropic Restrained Shield Extender,0,0
Large Ancillary Remote Shield Booster,0,0
Large Murky Compact Remote Shield Booster,0,0
200mm Steel Plates II,0,0
CONCORD Capital Shield Booster,0,0
Covert Jump Portal Generator I,0,0
Mega Pulse Laser II,0,0
Small S95a Scoped Remote Shield Booster,0,0
Small Hybrid Burst Aerator II,0,0
Small EM Shield Reinforcer II,0,0
Small Core Defense Field Extender II,0,0
Astero,0,0
Caldari Navy Hookbill,0,0
Federation Navy Comet,0,0
Garmur,0,0
Harpy,0,0
Hawk,0,0
Imperial Navy Slicer,0,0
Republic Fleet Firetail,0,0
Taranis,0,0
Confessor,0,0
Hecate,0,0
Council Diplomatic Shuttle,0,0
Svipul,0,0
Retribution,0,0
Datacore - Graviton Physics,0,0
Datacore - Molecular Engineering,0,0
Datacore - Electronic Engineering,0,0
Fierce Gamma Filament,0,0
Noise-25 'Needlejack' Filament,0,0
Signal-25 'Needlejack' Filament,0,0
Raging Exotic Filament,0,0
Chaotic Exotic Filament,0,0
Raging Electrical Filament,0,0
Raging Dark Filament,0,0
