ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy),GoodToBuy)jitasell)
Agency 'Pyrolancea' DB3 Dose I,45998,1,"4,835,000","72,525","4,907,525","5,314,000",1200,"5,779,000","5,455,376",940.8,421,0.45,200.9,"985,982,929",0.11,"109,828,998","1,067,648,822","28,163,105",Buy,
Agency 'Pyrolancea' DB5 Dose II,45999,1,"7,966,000","119,490","8,085,490","8,511,000",1200,"9,714,000","9,170,016",709.1,1008,1.42,85.0,"686,972,364",0.13,"92,043,280","723,125,227","55,890,418",Pass,
Agency 'Pyrolancea' DB7 Dose III,46000,1,"35,250,000","528,750","35,778,750","36,330,000",1200,"41,160,000","38,855,040",77.7,15,0.19,25.3,"903,884,673",0.09,"77,686,524","917,810,996","63,760,201",Pass,
Agency 'Pyrolancea' DB9 Dose IV,48115,1,"73,300,000","1,099,500","74,399,500","79,050,000",1200,"87,190,000","82,307,360",41.3,52,1.26,5.3,"391,196,880",0.11,"41,573,676","415,649,478","17,121,078",Pass,
Agency 'Hardshell' TB5 Dose II,46002,1,"2,403,000","36,045","2,439,045","2,588,000",1200,"3,771,000","3,559,824",317.6,365,1.15,42.3,"103,227,660",0.46,"47,383,923","109,531,880","41,079,703",Pass,
Agency 'Hardshell' TB7 Dose III,46003,1,"11,720,000","175,800","11,895,800","12,180,000",1200,"15,030,000","14,188,320",108,90,0.83,16.9,"201,052,738",0.19,"38,725,950","205,856,046","33,922,643",Pass,
Agency 'Hardshell' TB3 Dose I,46001,1,"112,500","1,688","114,188","130,700",1200,"378,700","357,493",143.3,150,1.05,20.0,"2,284,779",2.12,"4,844,288","2,615,178","4,513,889",Pass,
Agency 'Hardshell' TB9 Dose IV,48113,1,"36,620,000","549,300","37,169,300","40,570,000",1200,"45,910,000","43,339,040",81.9,40,0.49,16.7,"622,274,779",0.17,"103,271,433","679,208,050","46,338,161",Buy,
Standard Drop Booster,15466,1,"2,588,000","38,820","2,626,820","3,188,000",1200,"3,874,000","3,657,056",283,168,0.59,52.5,"137,834,294",0.39,"53,995,497","167,280,487","24,549,304",Pass,
Synth Drop Booster,28674,1,"2,519,000","37,785","2,556,785","2,865,000",1200,"4,058,000","3,830,752",255,1172,4.60,17.0,"43,445,283",0.50,"21,627,052","48,682,520","16,389,816",Pass,
Improved Frentix Booster,15461,1,"4,004,000","60,060","4,064,060","4,552,000",1200,"3,186,000","3,007,584",23.3,401,17.21,0.8,"3,260,797",-0.26,"-848,626","3,652,296","-1,240,124",Pass,
Standard Frentix Booster,15460,1,"1,400,000","21,000","1,421,000","1,626,000",1200,"1,020,000","962,880",24.7,505,20.45,0.8,"1,108,909",-0.32,"-358,440","1,268,885","-518,417",Pass,
Strong Frentix Booster,15462,1,"16,660,000","249,900","16,909,900","18,730,000",1200,"21,570,000","20,362,080",31.5,193,6.13,1.8,"30,741,862",0.20,"6,273,813","34,050,768","2,964,907",Pass,
Synth Frentix Booster,28678,1,"2,542,000","38,130","2,580,130","2,826,000",1200,"3,668,000","3,462,592",306.4,824,2.69,26.7,"68,867,304",0.34,"23,522,124","75,429,921","16,959,508",Pass,
Synth Sooth Sayer Booster,28684,1,"1,306,000","19,590","1,325,590","1,453,000",1200,"1,872,000","1,767,168",45.5,621,13.65,1.8,"2,332,290",0.33,"774,817","2,556,459","550,647",Pass,
Standard Crash Booster,9947,1,"2,553,000","38,295","2,591,295","2,823,000",1200,"3,684,000","3,477,696",184.3,912,4.95,11.8,"30,669,691",0.34,"10,476,940","33,412,073","7,734,558",Pass,
Synth Crash Booster,28672,1,"2,208,000","33,120","2,241,120","2,399,000",1200,"2,687,000","2,536,528",681.3,1239,1.82,72.2,"161,748,031",0.13,"21,233,832","173,142,681","9,839,181",Pass,
Master-at-Arms Cerebral Accelerator,48582,1,"60,890,000","913,350","61,803,350","66,500,000",1200,"68,550,000","64,711,200",155.2,75,0.48,31.9,"1,971,155,654",0.05,"92,704,677","2,120,950,579","-57,090,249",Pass,
Ocular Filter - Standard,10216,1,"17,920,000","268,800","18,188,800","19,270,000",1200,"21,180,000","19,993,920",208.4,378,1.81,22.1,"402,074,638",0.10,"39,876,764","425,975,231","15,976,171",Pass,
Ocular Filter - Improved,10217,1,"98,040,000","1,470,600","99,510,600","103,700,000",1200,"114,100,000","107,710,400",68.8,41,0.60,12.7,"1,266,957,462",0.08,"104,383,628","1,320,296,419","51,044,671",Pass,
Ocular Filter - Basic,9899,1,"7,931,000","118,965","8,049,965","8,495,000",1200,"9,687,000","9,144,528",78.6,173,2.20,7.6,"60,926,569",0.14,"8,275,173","64,294,839","4,906,903",Pass,
Memory Augmentation - Standard,10208,1,"17,830,000","267,450","18,097,450","19,310,000",1200,"20,750,000","19,588,000",201.1,289,1.44,24.0,"433,699,109",0.08,"35,691,756","462,757,449","6,633,416",Pass,
Memory Augmentation - Improved,10209,1,"99,620,000","1,494,300","101,114,300","102,100,000",1200,"114,000,000","107,616,000",80,27,0.34,19.7,"1,989,150,476",0.06,"127,879,762","2,008,541,459","108,488,780",Pass,
Memory Augmentation - Basic,9941,1,"7,948,000","119,220","8,067,220","8,979,000",1200,"10,030,000","9,468,320",83.3,257,3.09,6.8,"54,654,610",0.17,"9,484,183","60,831,829","3,306,964",Pass,
Neural Boost - Standard,10212,1,"18,140,000","272,100","18,412,100","19,400,000",1200,"21,220,000","20,031,680",208.4,309,1.48,24.4,"450,165,924",0.09,"39,568,519","474,319,547","15,414,896",Pass,
Neural Boost - Improved,10213,1,"98,030,000","1,470,450","99,500,450","102,000,000",1200,"109,800,000","103,651,200",68.8,42,0.61,12.6,"1,251,656,091",0.04,"52,198,855","1,283,098,933","20,756,012",Pass,
Neural Boost - Basic,9942,1,"7,926,000","118,890","8,044,890","8,515,000",1200,"10,400,000","9,817,600",77.7,82,1.06,10.8,"86,925,395",0.22,"19,141,244","92,004,954","14,061,685",Pass,
Cybernetic Subprocessor - Standard,10221,1,"17,920,000","268,800","18,188,800","19,210,000",1200,"21,580,000","20,371,520",202.5,350,1.73,22.0,"400,229,897",0.12,"48,002,591","422,700,580","25,531,907",Pass,
Cybernetic Subprocessor - Improved,10222,1,"97,800,000","1,467,000","99,267,000","102,900,000",1200,"114,900,000","108,465,600",79.1,37,0.47,16.5,"1,640,101,479",0.09,"151,960,564","1,700,126,348","91,935,695",Pass,
Cybernetic Subprocessor - Basic,9943,1,"7,991,000","119,865","8,110,865","8,749,000",1200,"9,705,000","9,161,520",81.7,147,1.80,8.7,"70,573,808",0.13,"9,131,460","76,126,313","3,578,955",Pass,
Social Adaptation Chip - Standard,10225,1,"18,230,000","273,450","18,503,450","19,450,000",1200,"21,370,000","20,173,280",143.7,391,2.72,12.4,"230,277,467",0.09,"20,766,284","242,057,386","8,986,365",Pass,
Social Adaptation Chip - Improved,10226,1,"95,280,000","1,429,200","96,709,200","101,300,000",1200,"109,500,000","103,368,000",47.8,108,2.26,4.5,"439,338,960",0.07,"30,244,724","460,194,446","9,389,239",Pass,
Social Adaptation Chip - Basic,9956,1,"3,037,000","45,555","3,082,555","3,191,000",1200,"5,454,000","5,148,576",66.5,248,3.73,4.9,"15,164,197",0.67,"10,157,597","15,697,677","9,624,117",Pass,
High-grade Crystal Alpha,20121,1,"60,010,000","900,150","60,910,150","65,910,000",1200,"67,180,000","63,417,920",12.8,51,3.98,0.9,"55,798,368",0.04,"2,296,210","60,378,614","-2,284,036",Pass,
High-grade Crystal Beta,20157,1,"82,070,000","1,231,050","83,301,050","89,570,000",1200,"96,150,000","90,765,600",12.6,11,0.87,1.9,"160,476,673",0.09,"14,377,893","172,553,594","2,300,971",Pass,
High-grade Crystal Gamma,20158,1,"113,500,000","1,702,500","115,202,500","122,300,000",1200,"142,700,000","134,708,800",11.7,20,1.71,1.3,"147,274,534",0.17,"24,935,262","156,347,957","15,861,839",Pass,
High-grade Crystal Delta,20159,1,"189,000,000","2,835,000","191,835,000","201,500,000",1200,"229,400,000","216,553,600",10.5,32,3.05,0.9,"164,830,952",0.13,"21,238,004","173,135,438","12,933,518",Pass,
High-grade Crystal Epsilon,20160,1,"322,200,000","4,833,000","327,033,000","376,700,000",1200,"382,500,000","361,080,000",10.3,7,0.68,1.8,"583,714,330",0.10,"60,767,633","672,363,915","-27,881,952",Pass,
High-grade Crystal Omega,20161,1,"732,500,000","10,987,500","743,487,500","799,800,000",1200,"916,900,000","865,553,600",7,15,2.14,0.7,"507,898,654",0.16,"83,386,201","546,367,415","44,917,440",Pass,
Mid-grade Crystal Alpha,22107,1,"21,520,000","322,800","21,842,800","22,980,000",1200,"27,220,000","25,695,680",28.9,70,2.42,2.7,"57,943,939",0.18,"10,217,624","60,960,670","7,200,893",Pass,
Mid-grade Crystal Beta,22108,1,"26,560,000","398,400","26,958,400","28,390,000",1200,"34,740,000","32,794,560",28.9,84,2.91,2.4,"65,283,465",0.22,"14,130,156","68,750,280","10,663,340",Pass,
Mid-grade Crystal Gamma,22111,1,"38,970,000","584,550","39,554,550","42,180,000",1200,"50,790,000","47,945,760",29.6,100,3.38,2.3,"90,998,865",0.21,"19,301,986","97,038,953","13,261,898",Pass,
Mid-grade Crystal Delta,22109,1,"64,560,000","968,400","65,528,400","72,420,000",1200,"74,200,000","70,044,800",31,38,1.23,4.0,"262,109,201",0.07,"18,060,497","289,675,138","-9,505,440",Pass,
Mid-grade Crystal Epsilon,22110,1,"106,100,000","1,591,500","107,691,500","114,700,000",1200,"138,300,000","130,555,200",30.6,47,1.54,3.5,"379,853,906",0.21,"80,641,554","404,574,577","55,920,884",Pass,
Mid-grade Crystal Omega,22112,1,"205,000,000","3,075,000","208,075,000","239,200,000",1200,"261,600,000","246,950,400",20.3,57,2.81,1.7,"360,104,453",0.19,"67,277,532","413,970,853","13,411,133",Pass,
Genolution Core Augmentation CA-1,2082,1,"203,200,000","3,048,000","206,248,000","215,600,000",1200,"253,900,000","239,681,600",4,16,4.00,0.3,"58,928,000",0.16,"9,552,114","61,600,000","6,880,114",Pass,
Genolution Core Augmentation CA-4,33394,1,"459,500,000","6,892,500","466,392,500","505,600,000",1200,"595,300,000","561,963,200",4.2,8,1.90,0.4,"202,760,083",0.20,"41,548,009","219,805,202","24,502,889",Pass,
Genolution Core Augmentation CA-3,33393,1,"476,900,000","7,153,500","484,053,500","529,800,000",1200,"620,500,000","585,752,000",4.9,6,1.22,0.6,"306,206,087",0.21,"64,332,418","335,144,741","35,393,764",Pass,
Genolution Core Augmentation CA-2,2589,1,"169,400,000","2,541,000","171,941,000","185,500,000",1200,"196,400,000","185,401,600",3.3,9,2.73,0.3,"49,082,996",0.08,"3,842,177","52,953,605","-28,432",Pass,
Mid-grade Amulet Alpha,22119,1,"36,190,000","542,850","36,732,850","37,980,000",1200,"41,350,000","39,034,400",73,141,1.93,7.5,"275,633,068",0.06,"17,261,185","284,991,334","7,902,919",Pass,
Mid-grade Amulet Beta,22120,1,"36,910,000","553,650","37,463,650","38,980,000",1200,"43,940,000","41,479,360",73.5,161,2.19,7.1,"265,784,786",0.11,"28,480,826","276,542,488","17,723,124",Pass,
Mid-grade Amulet Gamma,22123,1,"66,100,000","991,500","67,091,500","69,990,000",1200,"82,720,000","78,087,680",72.1,103,1.43,8.6,"578,167,595",0.16,"94,750,321","603,145,703","69,772,212",Pass,
Mid-grade Amulet Gamma,22123,1,"66,100,000","991,500","67,091,500","69,990,000",1200,"82,720,000","78,087,680",72.1,103,1.43,8.6,"578,167,595",0.16,"94,750,321","603,145,703","69,772,212",Pass,
Mid-grade Amulet Epsilon,22122,1,"182,800,000","2,742,000","185,542,000","187,800,000",1200,"209,700,000","197,956,800",74,63,0.85,11.5,"2,125,795,574",0.07,"142,225,350","2,151,665,978","116,354,947",Pass,
Mid-grade Amulet Omega,22124,1,"343,800,000","5,157,000","348,957,000","369,600,000",1200,"398,000,000","375,712,000",26.8,54,2.01,2.7,"941,194,078",0.08,"72,159,372","996,871,623","16,481,827",Pass,
Inherent Implants 'Noble' Remote Armor Repair Systems RA-703,17871,1,"14,950,000","224,250","15,174,250","19,790,000",1200,"24,710,000","23,326,240",14.7,28,1.90,1.5,"23,089,056",0.54,"12,402,198","30,112,356","5,378,898",Pass,
Inherent Implants 'Noble' Mechanic MC-803,13257,1,"6,001,000","90,015","6,091,015","7,860,000",1200,0,0,4,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
Inherent Implants 'Noble' Repair Proficiency RP-903,19684,1,"16,170,000","242,550","16,412,550","19,250,000",1200,"39,510,000","37,297,440",11,10,0.91,1.6,"27,049,986",1.27,"34,418,998","31,726,468","29,742,517",Pass,
Inherent Implants 'Noble' Hull Upgrades HG-1003,13256,1,"16,390,000","245,850","16,635,850","17,980,000",1200,"21,180,000","19,993,920",97.5,101,1.04,13.7,"227,663,387",0.20,"45,939,125","246,058,223","27,544,289",Pass,
Inherent Implants 'Noble' Hull Upgrades HG-1005,19550,1,"118,300,000","1,774,500","120,074,500","126,100,000",1200,"152,100,000","143,582,400",9.3,18,1.94,1.0,"114,667,651",0.20,"22,448,214","120,421,828","16,694,037",Pass,
Inherent Implants 'Squire' Capacitor Systems Operation EO-603,13260,1,"14,380,000","215,700","14,595,700","18,490,000",1200,"21,890,000","20,664,160",88.4,94,1.06,12.2,"178,748,069",0.42,"74,303,460","226,440,102","26,611,427",Pass,
Inherent Implants 'Squire' Power Grid Management EG-601,27127,1,"561,300","8,420","569,720","674,700",1200,"1,292,000","1,219,648",64.4,182,2.83,5.5,"3,117,857",1.14,"3,550,243","3,692,375","2,975,725",Pass,
Inherent Implants 'Squire' Power Grid Management EG-602,3256,1,"6,575,000","98,625","6,673,625","7,743,000",1200,"9,449,000","8,919,856",49.7,123,2.47,4.5,"30,119,363",0.34,"10,132,260","34,945,660","5,305,963",Pass,
Inherent Implants 'Squire' Power Grid Management EG-603,13261,1,"15,910,000","238,650","16,148,650","17,970,000",1200,"19,740,000","18,634,560",60.4,157,2.60,5.4,"86,425,871",0.15,"13,297,906","96,173,544","3,550,233",Pass,
Zainou 'Gypsy' CPU Management EE-601,27143,1,"465,200","6,978","472,178","699,900",1200,"1,499,000","1,415,056",71.2,111,1.56,8.1,"3,846,504",1.99,"7,671,193","5,701,596","5,816,101",Pass,
Zainou 'Gypsy' CPU Management EE-602,3265,1,"5,752,000","86,280","5,838,280","6,596,000",1200,"9,874,000","9,321,056",60,145,2.42,5.5,"32,190,651",0.60,"19,196,441","36,368,508","15,018,584",Pass,
Zainou 'Gypsy' CPU Management EE-603,13216,1,"16,390,000","245,850","16,635,850","17,870,000",1200,"19,650,000","18,549,600",88.7,55,0.62,16.1,"267,701,646",0.11,"30,776,473","287,561,405","10,916,713",Pass,
Inherent Implants 'Squire' Capacitor Management EM-803,13259,1,"16,360,000","245,400","16,605,400","18,190,000",1200,"20,090,000","18,964,960",116.9,116,0.99,16.8,"278,383,874",0.14,"39,537,102","304,949,153","12,971,823",Pass,
Inherent Implants 'Squire' Capacitor Management EM-805,27116,1,"119,300,000","1,789,500","121,089,500","126,400,000",1200,"141,300,000","133,387,200",39,38,0.97,5.6,"683,460,717",0.10,"69,404,653","713,434,564","39,430,806",Pass,
Armored Command Mindlink,13209,1,"45,140,000","677,100","45,817,100","50,210,000",1200,"58,880,000","55,582,720",15.9,63,3.96,1.1,"52,282,334",0.21,"11,142,274","57,295,115","6,129,493",Pass,
Information Command Mindlink,21889,1,"47,040,000","705,600","47,745,600","54,500,000",1200,"53,850,000","50,834,400",17.5,53,3.03,1.4,"68,588,997",0.06,"4,435,495","78,292,038","-5,267,546",Pass,
Mining Foreman Mindlink,22559,1,"44,800,000","672,000","45,472,000","50,980,000",1200,"57,780,000","54,544,320",46,60,1.30,5.8,"261,641,806",0.20,"52,194,410","293,334,344","20,501,873",Pass,
Shield Command Mindlink,21888,1,"46,330,000","694,950","47,024,950","49,890,000",1200,"50,000,000","47,200,000",36.2,128,3.54,2.8,"129,326,693",0.00,"478,117","137,206,073","-7,401,262",Pass,
Skirmish Command Mindlink,21890,1,"47,310,000","709,650","48,019,650","55,420,000",1200,"58,280,000","55,016,320",25.2,89,3.53,1.9,"91,987,064",0.15,"13,400,613","106,163,271","-775,593",Pass,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-703,9957,1,"16,210,000","243,150","16,453,150","18,080,000",1200,"21,050,000","19,871,200",24,159,6.63,1.3,"21,916,405",0.21,"4,551,412","24,083,449","2,384,368",Pass,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-903,13244,1,"16,330,000","244,950","16,574,950","17,970,000",1200,"19,340,000","18,256,960",61.8,138,2.23,5.9,"97,925,851",0.10,"9,930,332","106,167,895","1,688,288",Pass,
Zainou 'Deadeye' Sharpshooter ST-903,10204,1,"1,807,000","27,105","1,834,105","2,599,000",1200,"4,500,000","4,248,000",12.8,44,3.44,1.0,"1,808,901",1.32,"2,379,540","2,563,285","1,625,156",Pass,
Inherent Implants 'Lancer' Large Energy Turret LE-1003,13217,1,"7,190,000","107,850","7,297,850","18,350,000",1200,"24,850,000","23,458,400",12.1,21,1.74,1.3,"9,575,585",2.21,"21,202,851","24,077,225","6,701,210",Pass,
Zainou 'Deadeye' Missile Projection MP-703,13248,1,"16,000,000","240,000","16,240,000","18,530,000",1200,"21,540,000","20,333,760",34.5,80,2.32,3.2,"52,561,970",0.25,"13,245,875","59,973,726","5,834,120",Pass,
Zainou 'Snapshot' Heavy Missiles HM-703,13229,1,"13,500,000","202,500","13,702,500","18,270,000",1200,"22,550,000","21,287,200",2.8,23,8.21,0.1,"1,912,383",0.55,"1,058,388","2,549,844","420,927",Pass,
Zainou 'Deadeye' Guided Missile Precision GP-803,24632,1,"16,170,000","242,550","16,412,550","18,190,000",1200,"20,040,000","18,917,760",51.8,145,2.80,4.4,"72,591,983",0.15,"11,075,126","80,453,566","3,213,543",Pass,
Zainou 'Deadeye' Guided Missile Precision GP-805,24640,1,"119,300,000","1,789,500","121,089,500","128,100,000",1200,"137,800,000","130,083,200",14.7,45,3.06,1.2,"145,337,669",0.07,"10,793,248","153,752,022","2,378,895",Pass,
Zainou 'Deadeye' Target Navigation Prediction TN-903,13250,1,"15,820,000","237,300","16,057,300","18,740,000",1200,"20,510,000","19,361,440",48.3,144,2.98,4.0,"64,167,325",0.21,"13,199,032","74,887,787","2,478,570",Pass,
Zainou 'Deadeye' Target Navigation Prediction TN-905,24639,1,"117,000,000","1,755,000","118,755,000","129,800,000",1200,"151,000,000","142,544,000",13.5,22,1.63,1.5,"179,408,567",0.20,"35,937,309","196,094,749","19,251,126",Pass,
Zainou 'Deadeye' Rapid Launch RL-1003,13249,1,"16,390,000","245,850","16,635,850","17,980,000",1200,"23,190,000","21,891,360",73.7,85,1.15,9.8,"163,094,278",0.32,"51,512,120","176,272,034","38,334,364",Pass,
Zainou 'Deadeye' Rapid Launch RL-1005,24638,1,"118,400,000","1,776,000","120,176,000","126,800,000",1200,"139,600,000","131,782,400",20.5,20,0.98,3.0,"356,316,143",0.10,"34,408,868","375,955,989","14,769,022",Pass,
Eifyr and Co. 'Rogue' Navigation NN-603,13237,1,"16,130,000","241,950","16,371,950","18,500,000",1200,"21,870,000","20,645,280",28.5,68,2.39,2.6,"43,153,418",0.26,"11,260,541","48,762,563","5,651,397",Pass,
Eifyr and Co. 'Rogue' Warp Drive Speed WS-610,13242,1,"26,370,000","395,550","26,765,550","29,670,000",1200,"52,640,000","49,692,160",16.1,33,2.05,1.6,"42,999,160",0.86,"36,829,932","47,665,192","32,163,900",Pass,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-703,13240,1,"16,360,000","245,400","16,605,400","18,040,000",1200,"21,410,000","20,211,040",43.4,80,1.84,4.6,"75,829,973",0.22,"16,459,982","82,381,196","9,908,759",Pass,
Zor's Custom Navigation Hyper-Link,24663,1,"119,100,000","1,786,500","120,886,500","129,100,000",1200,"142,400,000","134,425,600",21,18,0.86,3.2,"391,717,030",0.11,"43,867,810","418,331,812","17,253,028",Pass,
Eifyr and Co. 'Alchemist' Biology BY-810,27148,1,"122,300,000","1,834,500","124,134,500","128,400,000",1200,"151,300,000","142,827,200",42,46,1.10,5.7,"711,687,731",0.15,"107,162,080","736,142,689","82,707,122",Pass,
Zainou 'Beancounter' Reprocessing RX-804,27174,1,"166,200,000","2,493,000","168,693,000","176,500,000",1200,"185,000,000","174,640,000",25,24,0.96,3.6,"614,898,472",0.04,"21,672,881","643,355,565","-6,784,212",Pass,
Inherent Implants 'Highwall' Mining MX-1003,22534,1,"22,820,000","342,300","23,162,300","25,970,000",1200,"28,550,000","26,951,200",99.9,73,0.73,16.7,"386,696,681",0.16,"63,235,992","433,571,485","16,361,188",Pass,
Inherent Implants 'Highwall' Mining MX-1005,22535,1,"167,400,000","2,511,000","169,911,000","181,200,000",1200,"206,400,000","194,841,600",74.7,116,1.55,8.6,"1,455,041,446",0.15,"213,484,178","1,551,715,368","116,810,256",Pass,
Poteque 'Prospector' Astrometric Pinpointing AP-606,27186,1,"28,200,000","423,000","28,623,000","33,200,000",1200,"68,010,000","64,201,440",13.3,41,3.08,1.1,"30,974,382",1.24,"38,499,913","35,927,382","33,546,912",Pass,
Poteque 'Prospector' Astrometric Rangefinding AR-806,27188,1,"27,230,000","408,450","27,638,450","31,980,000",1200,"40,480,000","38,213,120",19.4,23,1.19,2.5,"70,348,416",0.38,"26,912,756","81,399,005","15,862,167",Pass,
Neural Lace 'Blackglass' Net Intrusion 920-40,47028,1,"24,320,000","364,800","24,684,800","27,100,000",1200,"36,600,000","34,550,400",39,78,2.00,3.9,"97,248,113",0.40,"38,861,740","106,763,022","29,346,831",Pass,
Poteque 'Prospector' Environmental Analysis EY-1005,27260,1,"29,240,000","438,600","29,678,600","33,320,000",1200,"38,860,000","36,683,840",29.6,48,1.62,3.3,"98,551,291",0.24,"23,257,741","110,642,989","11,166,043",Pass,
Zainou 'Gnome' Shield Management SM-703,10228,1,"16,530,000","247,950","16,777,950","18,820,000",1200,"21,670,000","20,456,480",56,60,1.07,7.7,"129,672,317",0.22,"28,421,106","145,454,779","12,638,645",Pass,
Zainou 'Gnome' Shield Operation SP-903,13263,1,"16,370,000","245,550","16,615,550","18,000,000",1200,"22,500,000","21,240,000",18.4,51,2.77,1.6,"26,233,626",0.28,"7,299,464","28,419,479","5,113,612",Pass,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,0,,,,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
