ItemName,ItemId,vol.,jita_buy,jita_buy_taxes,jita_buy_total,jita_sell,unit_delivery,ual_sell_taxed,ual_sell_taxed,ual_wkly_vol,ual_listed_vol,ual_mrkt_rate,ual_avg_daily,money_freeze_buy,freeze_rate,PROFIT_jitabuy,money_freeze_sell,PROFIT_jitasell,GoodToBuy(jitabuy)
Omnidirectional Tracking Enhancer II,33824,5,"624,500","9,368","633,868","746,200",6000,"708,300","668,635",120.9,599,4.95,7.8,"4,918,430",0.05,"223,220","5,790,062","-648,412",Pass
Omnidirectional Tracking Link II,24438,5,"696,500","10,448","706,948","766,400",6000,"985,900","930,690",222.8,669,3.00,18.4,"12,985,206",0.31,"3,999,485","14,077,229","2,907,462",Pass
Dread Guristas Drone Damage Amplifier,33846,5,"72,330,000","1,084,950","73,414,950","79,620,000",6000,"88,000,000","83,072,000",92.9,133,1.43,11.1,"814,299,593",0.13,"107,046,945","883,124,399","38,222,139",Pass
Federation Navy Drone Damage Amplifier,33842,5,"92,320,000","1,384,800","93,704,800","115,200,000",6000,"115,900,000","109,409,600",15.9,29,1.82,1.7,"157,601,550",0.17,"26,403,719","193,754,201","-9,748,931",Pass
Federation Navy Omnidirectional Tracking Link,31942,5,"24,090,000","361,350","24,451,350","25,930,000",6000,"38,290,000","36,145,760",24.7,34,1.38,3.0,"73,537,824",0.48,"35,153,079","77,984,887","30,706,015",Pass
Imperial Navy Drone Damage Amplifier,33844,5,"119,700,000","1,795,500","121,495,500","127,000,000",6000,"139,000,000","131,216,000",30.6,10,0.33,7.6,"929,061,134",0.08,"74,285,586","971,153,368","32,193,352",Pass
Sentient Drone Navigation Computer,33852,25,"48,850,000","732,750","49,582,750","52,990,000",30000,"78,950,000","74,528,800",21.9,41,1.87,2.3,"113,372,263",0.50,"56,971,204","121,163,029","49,180,437",Pass
Sentient Omnidirectional Tracking Link,33826,5,"17,070,000","256,050","17,326,050","20,620,000",6000,"24,900,000","23,505,600",20.5,39,1.90,2.1,"36,787,478",0.36,"13,107,969","43,781,346","6,114,101",Pass
Burst Jammer II,2117,5,"875,400","13,131","888,531","1,070,000",6000,"886,400","836,762",68.6,165,2.41,6.3,"5,614,599",-0.07,"-365,043","6,761,296","-1,511,740",Pass
Gravimetric ECM II,2571,5,0,0,0,"1,571,000",6000,"1,967,000","1,856,848",217.9,333,1.53,25.2,0,#DIV/0!,"46,605,422","39,558,687","7,046,734",#DIV/0!
Magnetometric ECM II,2563,5,"1,225,000","18,375","1,243,375","1,380,000",6000,"2,102,000","1,984,288",201.1,616,3.06,16.4,"20,409,475",0.59,"12,063,286","22,652,117","9,820,645",Pass
Multispectral ECM II,2567,5,"1,158,000","17,370","1,175,370","1,265,000",6000,"2,344,000","2,212,736",122.5,565,4.61,8.1,"9,577,595",0.88,"8,404,167","10,307,952","7,673,810",Pass
Radar ECM II,2575,5,"995,900","14,939","1,010,839","1,336,000",6000,"2,226,000","2,101,344",215.4,526,2.44,19.7,"19,904,873",1.07,"21,355,483","26,307,774","14,952,582",Pass
Signal Distortion Amplifier II,25563,5,"1,203,000","18,045","1,221,045","1,475,000",6000,"1,774,000","1,674,656",88,332,3.77,6.5,"7,902,938",0.37,"2,897,061","9,546,605","1,253,395",Pass
Interdiction Sphere Launcher I,22782,50,"1,838,000","27,570","1,865,570","2,376,000",60000,"2,330,000","2,199,520",383.1,1144,2.99,31.7,"59,083,842",0.15,"8,676,179","75,249,499","-7,489,479",Pass
Remote Sensor Dampener II,1969,5,"1,662,000","24,930","1,686,930","1,781,000",6000,"1,928,000","1,820,032",346.3,180,0.52,68.6,"115,755,466",0.08,"8,721,613","122,210,456","2,266,623",Pass
Heavy Gunnar Compact Stasis Grappler,41054,50,"744,700","11,171","755,871","766,200",60000,"655,000","618,320",277.7,524,1.89,28.9,"21,829,688",-0.26,"-5,705,297","22,128,006","-6,003,615",Pass
Heavy Jigoro Enduring Stasis Grappler,41056,50,"744,700","11,171","755,871","797,400",60000,"668,300","630,875",387.1,137,0.35,93.0,"70,262,537",-0.24,"-17,196,384","74,122,945","-21,056,791",Pass
Heavy Karelin Scoped Stasis Grappler,41055,50,"729,900","10,949","740,849","779,300",60000,"599,900","566,306",329.2,353,1.07,45.4,"33,646,024",-0.32,"-10,651,889","35,392,319","-12,398,184",Pass
Heavy Stasis Grappler II,41057,50,"3,533,000","52,995","3,585,995","4,279,000",60000,"5,746,000","5,424,224",174.8,392,2.24,16.7,"59,797,186",0.50,"29,652,325","71,353,184","18,096,328",Pass
Stasis Webifier II,527,5,"750,200","11,253","761,453","809,500",6000,"854,000","806,176",686.2,753,1.10,93.6,"71,256,362",0.05,"3,623,677","75,752,574","-872,535",Pass
Caldari Navy Stasis Webifier,17500,5,"57,310,000","859,650","58,169,650","61,320,000",6000,"70,970,000","66,995,680",10.5,39,3.71,0.8,"45,274,124",0.15,"6,864,733","47,726,079","4,412,779",Pass
Dark Blood Stasis Webifier,14262,5,"160,200,000","2,403,000","162,603,000","170,000,000",6000,"179,500,000","169,448,000",9.8,19,1.94,1.0,"163,490,615",0.04,"6,876,333","170,927,993","-561,046",Pass
Federation Navy Stasis Webifier,17559,5,"54,380,000","815,700","55,195,700","59,310,000",6000,"62,980,000","59,453,120",122.5,201,1.64,13.7,"754,072,859",0.08,"58,082,069","810,281,621","1,873,307",Pass
Target Painter II,19806,5,"767,900","11,519","779,419","852,200",6000,"774,000","730,656",389.2,1167,3.00,32.1,"25,026,291",-0.07,"-1,758,365","27,363,227","-4,095,301",Pass
Republic Fleet Target Painter,31944,5,"30,040,000","450,600","30,490,600","30,510,000",6000,"36,350,000","34,314,400",78.9,116,1.47,9.3,"283,435,628",0.13,"35,489,644","283,615,967","35,309,305",Pass
Warp Disruption Field Generator II,4248,50,"6,847,000","102,705","6,949,705","8,100,000",60000,"11,180,000","10,553,920",44.8,115,2.57,4.0,"27,761,085",0.51,"14,157,616","32,356,019","9,562,682",Pass
Warp Disruptor II,3244,5,"1,084,000","16,260","1,100,260","1,130,000",6000,"1,123,000","1,060,112",788.2,1013,1.29,99.3,"109,281,641",-0.04,"-4,583,579","112,235,521","-7,537,459",Pass
Caldari Navy Warp Disruptor,15889,5,"43,220,000","648,300","43,868,300","46,650,000",6000,"59,610,000","56,271,840",20.1,38,1.89,2.1,"91,612,567",0.28,"25,890,460","97,421,743","20,081,284",Pass
Dark Blood Warp Disruptor,14242,5,"110,000,000","1,650,000","111,650,000","119,600,000",6000,"149,900,000","141,505,600",11.2,20,1.79,1.2,"133,681,935",0.27,"35,739,832","143,200,712","26,221,056",Pass
Shadow Serpentis Warp Disruptor,14250,5,"60,770,000","911,550","61,681,550","68,980,000",6000,"74,900,000","70,705,600",7.9,26,3.29,0.6,"38,371,714",0.15,"5,610,074","42,912,035","1,069,753",Pass
True Sansha Warp Disruptor,14248,5,"112,700,000","1,690,500","114,390,500","124,900,000",6000,"128,000,000","120,832,000",18.2,6,0.33,4.5,"517,992,385",0.06,"29,141,756","565,582,359","-18,448,219",Pass
Warp Scrambler II,448,5,"1,157,000","17,355","1,174,355","1,234,000",6000,"1,280,000","1,208,320",1274,1288,1.01,181.0,"212,567,846",0.02,"5,061,893","223,364,078","-5,734,339",Pass
Caldari Navy Warp Scrambler,15887,5,"38,040,000","570,600","38,610,600","45,810,000",6000,"62,460,000","58,962,240",15.4,36,2.34,1.4,"55,556,943",0.53,"29,275,421","65,916,188","18,916,176",Pass
Dark Blood Warp Scrambler,14252,5,"108,800,000","1,632,000","110,432,000","116,500,000",6000,"132,400,000","124,985,600",11,4,0.36,2.6,"287,776,900",0.13,"37,909,874","303,589,619","22,097,155",Buy
Tracking Disruptor II,2109,5,"728,400","10,926","739,326","1,041,000",6000,"1,319,000","1,245,136",288.9,736,2.55,25.9,"19,117,027",0.68,"12,923,773","26,917,523","5,123,276",Pass
Guidance Disruptor II,37546,5,"803,800","12,057","815,857","971,600",6000,"2,036,000","1,921,984",61.4,495,8.06,3.1,"2,520,380",1.35,"3,398,558","3,001,507","2,917,431",Pass
Auto Targeting System II,1436,5,"566,900","8,504","575,404","749,700",6000,"1,115,000","1,052,560",64.2,165,2.57,5.7,"3,291,812",0.82,"2,695,428","4,288,941","1,698,299",Pass
Prototype Cloaking Device I,11370,100,"1,812,000","27,180","1,839,180","2,048,000",120000,"2,210,000","2,086,240",754.1,381,0.51,151.6,"278,745,021",0.07,"19,257,138","310,393,656","-12,391,497",Pass
Covert Ops Cloaking Device II,11578,100,"3,915,000","58,725","3,973,725","5,184,000",120000,"6,062,000","5,722,528",1143.1,1394,1.22,147.9,"587,617,497",0.41,"240,860,437","766,587,800","61,890,135",Pass
Improved Cloaking Device II,11577,100,"3,424,000","51,360","3,475,360","3,847,000",120000,"4,362,000","4,117,728",532.5,439,0.82,83.8,"291,171,535",0.15,"43,764,874","322,308,163","12,628,247",Pass
Caldari Navy Cloaking Device,15790,100,"34,020,000","510,300","34,530,300","37,150,000",120000,"49,970,000","47,171,680",17.7,52,2.94,1.5,"50,940,188",0.36,"18,471,935","54,804,852","14,607,271",Pass
Co-Processor II,3888,5,"752,000","11,280","763,280","838,900",6000,0,0,655.4,0,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Remote Sensor Booster II,1964,5,"977,400","14,661","992,061","1,207,000",6000,"1,300,000","1,227,200",55.8,276,4.95,3.6,"3,555,798",0.23,"821,292","4,326,194","50,896",Pass
Networked Sensor Array,41411,"1,000","42,660,000","639,900","43,299,900","50,060,000",1200000,"40,000,000","37,760,000",14.5,49,3.38,1.1,"48,791,348",-0.16,"-7,594,678","56,408,788","-15,212,118",Pass
Sensor Booster II,1952,5,"836,600","12,549","849,149","912,900",6000,"893,500","843,464",860.5,1691,1.97,87.7,"74,462,973",-0.01,"-1,024,673","80,053,380","-6,615,080",Pass
Sentient Sensor Booster,41191,5,"62,530,000","937,950","63,467,950","68,540,000",6000,"80,980,000","76,445,120",25.4,16,0.63,4.6,"290,166,328",0.20,"59,302,321","313,355,011","36,113,639",Pass
Shadow Serpentis Sensor Booster,14236,5,"54,960,000","824,400","55,784,400","59,880,000",6000,"81,150,000","76,605,600",13.5,26,1.93,1.4,"77,522,667",0.37,"28,926,542","83,214,255","23,234,954",Pass
Signal Amplifier II,1987,5,"707,400","10,611","718,011","805,400",6000,"924,800","873,011",606.2,1248,2.06,60.4,"43,336,084",0.21,"8,993,017","48,610,511","3,718,589",Pass
Small Tractor Beam II,4250,50,"2,026,000","30,390","2,056,390","2,366,000",60000,"2,638,000","2,490,272",161,652,4.05,11.4,"23,502,954",0.18,"4,273,183","27,041,558","734,579",Pass
Micro Auxiliary Power Core II,4254,20,"769,100","11,537","780,637","891,700",24000,"885,300","835,723",260.9,837,3.21,20.8,"16,244,233",0.04,"646,882","18,555,349","-1,664,234",Pass
Capital Cap Battery II,41486,"1,000","17,650,000","264,750","17,914,750","20,350,000",1200000,"22,000,000","20,768,000",35.2,96,2.73,3.0,"54,549,540",0.09,"5,034,066","61,964,757","-2,381,152",Pass
Large Cap Battery II,3504,15,"1,360,000","20,400","1,380,400","1,534,000",18000,"1,377,000","1,299,888",241.5,593,2.46,22.0,"30,391,719",-0.07,"-2,168,900","33,773,469","-5,550,650",Pass
Republic Fleet Large Cap Battery,41218,15,"24,670,000","370,050","25,040,050","26,920,000",18000,"30,730,000","29,009,120",415.3,219,0.53,81.7,"2,045,775,584",0.16,"322,802,971","2,199,367,761","169,210,793",Pass
Thukker Large Cap Battery,41220,15,"71,800,000","1,077,000","72,877,000","78,990,000",18000,"88,480,000","83,525,120",55.8,51,0.91,8.3,"607,657,212",0.15,"88,635,222","658,628,143","37,664,291",Pass
Medium Cap Battery II,3496,10,"929,600","13,944","943,544","1,244,000",12000,"1,050,000","991,200",122.7,263,2.14,12.0,"11,296,739",0.04,"426,897","14,893,999","-3,170,362",Pass
Thukker Medium Cap Battery,41217,10,"43,330,000","649,950","43,979,950","63,800,000",12000,"106,600,000","100,630,400",4.4,6,1.36,0.5,"23,673,370",1.29,"30,487,142","34,342,035","19,818,476",Pass
Republic Fleet Medium Cap Battery,41215,10,"18,900,000","283,500","19,183,500","20,340,000",12000,"23,740,000","22,410,560",24,87,3.63,1.8,"34,545,147",0.17,"5,789,596","36,627,742","3,707,001",Pass
Small Cap Battery II,3488,5,"548,900","8,234","557,134","597,800",6000,"776,400","732,922",122.3,1008,8.24,6.1,"3,390,554",0.30,"1,033,281","3,638,038","785,797",Pass
Republic Fleet Small Cap Battery,41212,5,"13,360,000","200,400","13,560,400","14,960,000",6000,"19,300,000","18,219,200",38,164,4.32,2.6,"35,434,632",0.34,"12,158,215","39,091,922","8,500,925",Pass
Capital Capacitor Booster II,41493,"1,000","126,500,000","1,897,500","128,397,500","133,100,000",1200000,"129,300,000","122,059,200",156.3,146,0.93,23.1,"2,966,337,533",-0.06,"-174,155,589","3,074,978,295","-282,796,351",Pass
Heavy Capacitor Booster II,3578,20,"2,239,000","33,585","2,272,585","2,443,000",24000,"2,299,000","2,170,256",262.7,525,2.00,26.5,"60,329,893",-0.06,"-3,353,633","64,853,868","-7,877,608",Pass
Dark Blood Heavy Capacitor Booster,14172,20,"10,100,000","151,500","10,251,500","17,130,000",24000,"19,880,000","18,766,720",6.5,46,7.08,0.3,"3,578,331",0.83,"2,963,897","5,979,301","562,927",Pass
Medium Capacitor Booster II,2024,10,"831,400","12,471","843,871","992,500",12000,"1,190,000","1,123,360",319.9,941,2.94,26.6,"22,485,605",0.32,"7,127,454","26,445,941","3,167,118",Pass
True Sansha Capacitor Power Relay,14146,5,"49,080,000","736,200","49,816,200","55,000,000",6000,"63,100,000","59,566,400",20.8,25,1.20,2.7,"135,019,829",0.20,"26,410,289","149,069,793","12,360,325",Pass
Dark Blood Capacitor Power Relay,14144,5,"56,970,000","854,550","57,824,550","61,000,000",6000,"76,840,000","72,536,960",42.7,70,1.64,4.8,"275,490,745",0.25,"70,065,048","290,619,390","54,936,403",Pass
True Sansha Cap Recharger,14140,5,"31,400,000","471,000","31,871,000","35,850,000",6000,"40,610,000","38,335,840",40.4,62,1.53,4.7,"148,482,015",0.20,"30,090,728","167,019,555","11,553,188",Pass
Imperial Navy Cap Recharger,17526,5,"120,200","1,803","122,003","27,200,000",6000,"26,000,000","24,544,000",95.7,43,0.45,20.4,"2,488,320",200.13,"497,977,937","554,759,238","-54,292,981",Buy
Dark Blood Cap Recharger,14142,5,"32,650,000","489,750","33,139,750","35,990,000",6000,"47,460,000","44,802,240",43.6,50,1.15,5.8,"192,750,680",0.35,"67,797,626","209,328,585","51,219,721",Pass
Capital Energy Neutralizer I,40659,"1,000","27,940,000","419,100","28,359,100","42,520,000",1200000,"54,000,000","50,976,000",13.5,46,3.41,1.0,"29,628,942",0.76,"22,375,889","44,423,928","7,580,904",Pass
Heavy Energy Neutralizer II,12271,5,"5,464,000","81,960","5,545,960","6,099,000",6000,"5,735,000","5,413,840",598.5,963,1.61,67.4,"373,819,353",-0.02,"-9,309,827","411,096,408","-46,586,882",Pass
Dark Blood Heavy Energy Neutralizer,14168,5,"91,790,000","1,376,850","93,166,850","94,960,000",6000,"119,200,000","112,524,800",13.8,29,2.10,1.4,"126,701,864",0.21,"26,317,603","129,140,450","23,879,016",Pass
Corpus X-Type Heavy Energy Neutralizer,37631,5,"425,100,000","6,376,500","431,476,500","465,600,000",6000,"526,800,000","497,299,200",8.6,17,1.98,0.9,"377,035,569",0.15,"57,512,372","406,853,586","27,694,356",Pass
Medium Energy Neutralizer II,12267,5,"2,952,000","44,280","2,996,280","3,230,000",6000,"2,675,000","2,525,200",261.8,466,1.78,28.0,"83,993,535",-0.16,"-13,373,795","90,545,316","-19,925,576",Pass
Corpum A-Type Medium Energy Neutralizer,37627,5,"192,100,000","2,881,500","194,981,500","220,200,000",6000,"249,800,000","235,811,200",9.1,17,1.87,1.0,"185,452,629",0.21,"38,828,620","209,438,685","14,842,564",Pass
Corpum C-Type Medium Energy Neutralizer,37625,5,"53,670,000","805,050","54,475,050","60,910,000",6000,"89,350,000","84,346,400",9.8,19,1.94,1.0,"54,772,418",0.55,"30,028,379","61,242,495","23,558,302",Pass
Small Energy Neutralizer II,13003,5,"1,425,000","21,375","1,446,375","1,595,000",6000,"1,480,000","1,397,120",643.1,879,1.37,78.6,"113,659,618",-0.04,"-4,342,070","125,338,928","-16,021,380",Pass
Dark Blood Heavy Energy Nosferatu,14152,5,"4,604,000","69,060","4,673,060","6,968,000",6000,"21,480,000","20,277,120",16.3,28,1.72,1.8,"8,302,439",3.34,"27,712,451","12,379,768","23,635,123",Pass
Corpus X-Type Heavy Energy Nosferatu,19119,5,"53,120,000","796,800","53,916,800","58,910,000",6000,"89,540,000","84,525,760",5.8,32,5.52,0.4,"19,019,236",0.57,"10,795,242","20,780,595","9,033,883",Pass
Medium Energy Nosferatu II,12259,5,"3,674,000","55,110","3,729,110","4,214,000",6000,"4,950,000","4,672,800",83.1,268,3.23,6.6,"24,651,383",0.25,"6,198,625","27,856,762","2,993,247",Pass
Corpum A-Type Medium Energy Nosferatu,19111,5,"59,320,000","889,800","60,209,800","64,200,000",6000,"103,200,000","97,420,800",5.1,8,1.57,0.6,"35,025,103",0.62,"21,642,805","37,346,272","19,321,635",Pass
Small Energy Nosferatu II,13001,5,"1,680,000","25,200","1,705,200","1,927,000",6000,"2,141,000","2,021,104",207.9,196,0.94,30.6,"52,159,207",0.18,"9,479,443","58,943,697","2,694,954",Pass
Power Diagnostic System II,1541,5,"692,600","10,389","702,989","699,800",6000,"643,000","606,992",1769.8,4109,2.32,165.9,"116,645,692",-0.15,"-16,924,178","116,116,547","-16,395,033",Pass
True Sansha Power Diagnostic System,14136,5,"30,680,000","460,200","31,140,200","34,920,000",6000,"42,730,000","40,337,120",16.3,31,1.90,1.7,"52,580,404",0.30,"15,518,920","58,962,617","9,136,707",Pass
Dark Blood Power Diagnostic System,14134,5,"34,950,000","524,250","35,474,250","45,500,000",6000,"47,070,000","44,434,080",26.8,24,0.90,4.0,"143,519,778",0.25,"36,224,915","184,081,408","-4,336,715",Pass
Caldari Navy Power Diagnostic System,31952,5,"28,940,000","434,100","29,374,100","31,490,000",6000,"35,400,000","33,417,600",150.7,132,0.88,23.0,"675,693,034",0.14,"92,874,697","724,365,126","44,202,605",Pass
Reactor Control Unit II,1355,5,"532,900","7,994","540,894","624,400",6000,"578,700","546,293",576.3,2197,3.81,42.2,"22,807,182",0.00,"-25,329","26,328,296","-3,546,443",Pass
True Sansha Reactor Control Unit,14130,5,"8,181,000","122,715","8,303,715","9,714,000",6000,"15,000,000","14,160,000",12.1,25,2.07,1.2,"9,985,790",0.70,"7,035,371","11,681,755","5,339,406",Pass
Dark Blood Reactor Control Unit,14128,5,"8,448,000","126,720","8,574,720","9,388,000",6000,"17,630,000","16,642,720",11.9,80,6.72,0.7,"5,622,084",0.94,"5,285,915","6,155,318","4,752,682",Pass
Armor Command Burst II,43552,,"1,540,000","23,100","1,563,100","1,555,000",0,"2,099,000","1,981,456",112.5,302,2.68,9.8,"15,332,537",0.27,"4,103,678","15,253,084","4,183,131",Pass
Information Command Burst II,43554,,"2,497,000","37,455","2,534,455","2,991,000",0,"2,760,000","2,605,440",179.2,40,0.22,54.2,"137,329,411",0.03,"3,846,321","162,067,296","-20,891,564",Pass
Mining Foreman Burst II,43551,,"2,181,000","32,715","2,213,715","2,474,000",0,"2,592,000","2,446,848",249.4,1533,6.15,14.4,"31,812,461",0.11,"3,350,266","35,552,918","-390,191",Pass
Shield Command Burst II,43555,,"1,252,000","18,780","1,270,780","2,272,000",0,"2,640,000","2,492,160",288.6,304,1.05,40.2,"51,048,153",0.96,"49,063,719","91,267,885","8,843,987",Pass
Skirmish Command Burst II,43556,,"2,445,000","36,675","2,481,675","2,647,000",0,"2,483,000","2,343,952",212.8,214,1.01,30.3,"75,231,100",-0.06,"-4,175,024","80,242,869","-9,186,793",Pass
Covert Cynosural Field Generator I,28646,,"6,012,000","90,180","6,102,180","6,812,000",0,"6,782,000","6,402,208",319.2,1905,5.97,18.7,"113,902,645",0.05,"5,600,291","127,152,070","-7,649,134",Pass
Cynosural Field Generator I,21096,,"2,464,000","36,960","2,500,960","2,724,000",0,"3,038,000","2,867,872",356.5,744,2.09,35.3,"88,168,112",0.15,"12,935,008","96,031,098","5,072,021",Pass
Industrial Cynosural Field Generator,52694,,"4,172,000","62,580","4,234,580","4,324,000",0,"4,247,000","4,009,168",512.9,2020,3.94,36.9,"156,345,601",-0.05,"-8,322,472","159,647,091","-11,623,962",Pass
Covert Jump Portal Generator I,28652,,"18,600,000","279,000","18,879,000","20,650,000",0,"25,680,000","24,241,920",24.5,207,8.45,1.2,"22,732,380",0.28,"6,457,542","24,864,857","4,325,064",Pass
Industrial Jump Portal Generator I,63140,,"683,000,000","10,245,000","693,245,000","744,000,000",0,"867,900,000","819,297,600",23.3,25,1.07,3.2,"2,227,678,858",0.18,"405,058,402","2,390,775,368","241,961,892",Pass
Gas Cloud Scoop I,25266,,"2,836,000","42,540","2,878,540","3,168,000",0,"2,389,000","2,255,216",159.1,515,3.24,12.6,"36,364,355",-0.22,"-7,874,400","40,021,078","-11,531,124",Pass
Gas Cloud Scoop II,25812,,"4,854,000","72,810","4,926,810","5,319,000",0,"6,076,000","5,735,744",99.6,402,4.04,7.1,"34,893,437",0.16,"5,729,161","37,671,068","2,951,531",Pass
Ice Harvester I,16278,,"2,719,000","40,785","2,759,785","2,901,000",0,"2,634,000","2,486,496",154.7,278,1.80,16.5,"45,497,788",-0.10,"-4,505,440","47,825,857","-6,833,509",Pass
Ice Harvester II,22229,,"4,988,000","74,820","5,062,820","5,475,000",0,"4,798,000","4,529,312",364.9,917,2.51,32.9,"166,483,261",-0.11,"-17,543,612","180,037,184","-31,097,535",Pass
ORE Ice Harvester,28752,,"174,000,000","2,610,000","176,610,000","190,200,000",0,"198,200,000","187,100,800",133.2,96,0.72,22.4,"3,958,566,739",0.06,"235,142,585","4,263,175,323","-69,465,999",Pass
Salvager II,30836,,"887,100","13,307","900,407","999,000",0,"1,087,000","1,026,128",251.5,662,2.63,22.1,"19,939,698",0.14,"2,784,130","22,123,072","600,755",Pass
Strip Miner I,17482,,"3,163,000","47,445","3,210,445","3,415,000",0,"2,943,000","2,778,192",585.2,517,0.88,88.9,"285,547,524",-0.13,"-38,446,002","303,741,318","-56,639,795",Pass
Modulated Deep Core Strip Miner II,24305,,"5,686,000","85,290","5,771,290","6,291,000",0,"5,896,000","5,565,824",249,1141,4.58,16.6,"95,902,749",-0.04,"-3,414,272","104,538,880","-12,050,403",Pass
Modulated Strip Miner II,17912,,"2,717,000","40,755","2,757,755","5,297,000",0,"4,992,000","4,712,448",725.2,863,1.19,95.0,"261,902,073",0.71,"185,635,834","503,052,403","-55,514,497",Pass
ORE Strip Miner,28754,,"180,000,000","2,700,000","182,700,000","195,000,000",0,"204,400,000","192,953,600",495.8,181,0.37,117.2,"21,417,116,721",0.06,"1,201,984,390","22,858,991,575","-239,890,463",Pass
EM Armor Hardener II,11642,,"1,868,000","28,020","1,896,020","2,033,000",0,"2,334,000","2,203,296",49.9,59,1.18,6.6,"12,429,959",0.16,"2,014,445","13,327,974","1,116,429",Pass
Dark Blood EM Armor Hardener,13972,,"9,104,000","136,560","9,240,560","10,710,000",0,"13,960,000","13,178,240",27.8,56,2.01,2.8,"25,856,720",0.43,"11,018,325","29,968,473","6,906,572",Pass
Centus X-Type EM Armor Hardener,18935,,"78,480,000","1,177,200","79,657,200","100,300,000",0,"110,500,000","104,312,000",6.1,25,4.10,0.4,"34,288,757",0.31,"10,612,756","43,174,532","1,726,981",Pass
Core X-Type EM Armor Hardener,18973,,"65,150,000","977,250","66,127,250","72,340,000",0,"109,400,000","103,273,600",8.4,22,2.62,0.7,"49,033,174",0.56,"27,543,917","53,639,912","22,937,180",Pass
Corpus C-Type EM Armor Hardener,18885,,"25,000,000","375,000","25,375,000","31,500,000",0,"43,510,000","41,073,440",1.4,1,0.71,0.2,"6,004,821",0.62,"3,714,929","7,454,261","2,265,489",Pass
Corpus X-Type EM Armor Hardener,18933,,"107,100,000","1,606,500","108,706,500","116,600,000",0,"109,300,000","103,179,200",11.7,55,4.70,0.8,"83,802,104",-0.05,"-4,261,009","89,887,222","-10,346,127",Pass
Explosive Armor Hardener II,11646,,"1,735,000","26,025","1,761,025","2,010,000",0,"2,378,000","2,244,832",151.7,549,3.62,11.4,"20,061,328",0.27,"5,511,456","22,897,613","2,675,170",Pass
Dark Blood Explosive Armor Hardener,13976,,"10,690,000","160,350","10,850,350","12,000,000",0,"17,810,000","16,812,640",77.5,83,1.07,10.7,"116,080,485",0.55,"63,786,469","128,379,806","51,487,149",Pass
Centus X-Type Explosive Armor Hardener,18939,,"85,000,000","1,275,000","86,275,000","136,300,000",0,"163,400,000","154,249,600",15.6,30,1.92,1.6,"138,647,869",0.79,"109,238,289","219,040,330","28,845,828",Pass
